CONTA,    PRODUÇÃO  ,    IMPORTAÇÃO  ,VARIAÇÃO DE ESTOQUES,    EXPORTAÇÃO  ,    NÃO-APROVEITADA  ,    REINJEÇÃO  ,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,    RESIDENCIAL  ,    COMERCIAL  ,    PÚBLICO,    AGROPECUÁRIO  ,      RODOVIÁRIO  ,      FERROVIÁRIO  ,      AÉREO ,      HIDROVIÁRIO  ,   INDUSTRIAL - TOTAL  ,CONSUMO NÃO-IDENTIFICADO,Ano
 PETRÓLEO ,156397,12723,-470,-69579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 GÁS NATURAL ,49970,7721,0,0,-1253,-24724,974,4345,465,142,22,0,1991,0,0,0,9135,0,2022
 CARVÃO VAPOR ,2311,3257,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3577,0,2022
 CARVÃO METALÚRGICO ,0,7404,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 URÂNIO U3O8 ,516,3159,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 ENERGIA HIDRÁULICA ,36731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 LENHA ,27283,0,0,0,0,0,0,0,7510,81,0,3118,0,0,0,0,7729,0,2022
 PRODUTOS DA CANA ,47740,0,0,0,0,0,0,12083,0,0,0,0,0,0,0,0,15934,0,2022
 OUTRAS FONTES PRIMÁRIAS ,33597,0,0,0,0,0,0,0,799,171,0,0,0,0,0,0,9797,0,2022
 ENERGIA PRIMÁRIA TOTAL ,354548,34267,175,-69579,-1253,-24724,974,16429,8776,395,22,3118,1991,0,0,0,46174,0,2022
 BIODIESEL ,0,0,-14,0,0,0,0,0,0,4,0,670,4005,99,0,0,123,0,2022
 ÓLEO DIESEL ,0,12198,-506,-547,0,0,0,581,0,43,3,6462,38595,954,0,358,1188,0,2022
 ÓLEO COMBUSTÍVEL ,0,201,-566,-14592,0,0,0,116,0,12,6,8,0,0,0,742,1544,0,2022
 GASOLINA ,0,3192,-568,-420,0,0,0,0,0,0,0,0,24192,0,34,0,0,0,2022
 GLP ,0,2143,-37,0,0,0,0,0,6406,445,262,26,0,0,0,0,1070,0,2022
 NAFTA ,0,6451,-52,-379,0,0,6959,0,0,0,0,0,0,0,0,0,0,0,2022
 QUEROSENE ,0,1063,-148,-1772,0,0,1,0,3,0,0,0,0,0,3126,0,1,0,2022
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,1184,0,2022
 COQUE DE CARVÃO MINERAL ,0,1081,-179,0,0,0,0,0,0,0,0,0,0,0,0,0,7371,0,2022
 URÂNIO CONTIDO NO UO2,0,2780,-3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 ELETRICIDADE,0,1538,0,-428,0,0,0,3078,13381,8351,3832,2776,0,170,0,0,18811,0,2022
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,395,76,0,9,0,0,0,0,3931,0,2022
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,52,176,-1235,0,0,649,0,0,0,0,9,15155,0,0,0,0,0,2022
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2941,27,-820,0,0,0,3118,0,0,0,0,0,0,0,0,5461,0,2022
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1533,-60,-282,0,0,7207,0,0,0,0,0,0,0,0,0,0,0,2022
 ALCATRÃO ,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,85,0,2022
 ENERGIA SECUNDÁRIA TOTAL ,0,35179,-5060,-20477,0,0,14967,7066,20187,8934,4105,9963,81948,1223,3161,1101,40775,0,2022
 TOTAL  ,354548,69446,-4885,-90057,-1253,-24724,15942,23496,28963,9330,4128,13081,83939,1223,3161,1101,86949,0,2022
 PETRÓLEO ,150386,7247,-308,-64722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 GÁS NATURAL ,48462,14833,176,0,-1220,-22025,752,4717,456,116,20,0,1907,0,0,0,8700,0,2021
 CARVÃO VAPOR ,2639,5372,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3629,0,2021
 CARVÃO METALÚRGICO ,0,7893,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 URÂNIO U3O8 ,342,4722,-786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 ENERGIA HIDRÁULICA ,31202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 LENHA ,27406,0,0,0,0,0,0,0,7440,82,0,3157,0,0,0,0,7607,0,2021
 PRODUTOS DA CANA ,49425,0,0,0,0,0,0,12874,0,0,0,0,0,0,0,0,15403,0,2021
 OUTRAS FONTES PRIMÁRIAS ,28436,0,0,0,0,0,0,0,746,157,0,0,0,0,0,0,8975,0,2021
 ENERGIA PRIMÁRIA TOTAL ,338302,40068,-818,-64722,-1220,-22025,752,17592,8643,355,20,3157,1907,0,0,0,44316,0,2021
 BIODIESEL ,0,0,-14,0,0,0,0,0,0,3,0,721,4282,107,0,0,121,0,2021
 ÓLEO DIESEL ,0,12242,-7,-500,0,0,0,510,0,33,5,6264,37160,933,0,335,1056,0,2021
 ÓLEO COMBUSTÍVEL ,0,595,-441,-12237,0,0,0,134,0,15,8,8,0,0,0,794,1507,0,2021
 GASOLINA ,0,2121,-200,-1381,0,0,0,0,0,0,0,0,22100,0,36,0,0,0,2021
 GLP ,0,2454,-63,0,0,0,0,0,6521,403,259,25,0,0,0,0,1086,0,2021
 NAFTA ,0,6051,107,-230,0,0,5550,0,0,0,0,0,0,0,0,0,0,0,2021
 QUEROSENE ,0,307,-53,-1088,0,0,1,0,1,0,0,0,0,0,2515,0,0,0,2021
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,1245,0,2021
 COQUE DE CARVÃO MINERAL ,0,1153,-214,0,0,0,0,0,0,0,0,0,0,0,0,0,7842,0,2021
 URÂNIO CONTIDO NO UO2,0,3128,-3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 ELETRICIDADE,0,1990,0,-3,0,0,0,3341,12997,7768,3673,2946,0,172,0,0,18364,0,2021
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,412,77,0,9,0,0,0,0,4064,0,2021
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,230,755,-967,0,0,701,0,0,0,0,8,14839,0,0,0,0,0,2021
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2898,-25,-841,0,0,0,3076,0,0,0,0,0,0,0,0,5918,0,2021
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1710,-8,-385,0,0,6620,0,0,0,0,0,0,0,0,0,0,0,2021
 ALCATRÃO ,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,91,0,2021
 ENERGIA SECUNDÁRIA TOTAL ,0,34884,-3673,-17636,0,0,13031,7269,19933,8303,3946,9985,78383,1213,2552,1130,41301,0,2021
 TOTAL  ,338302,74953,-4491,-82359,-1220,-22025,13784,24862,28576,8659,3967,13143,80291,1213,2552,1130,85618,0,2021
 PETRÓLEO ,152634,8684,765,-70885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 GÁS NATURAL ,46298,8457,0,0,-1224,-19708,216,4986,444,90,20,0,1658,0,0,0,7202,0,2020
 CARVÃO VAPOR ,2084,3897,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3216,0,2020
 CARVÃO METALÚRGICO ,0,6814,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 URÂNIO U3O8 ,205,4698,-857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 ENERGIA HIDRÁULICA ,34088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 LENHA ,26456,0,0,0,0,0,0,0,7207,78,0,3197,0,0,0,0,7238,0,2020
 PRODUTOS DA CANA ,55597,0,0,0,0,0,0,14037,0,0,0,0,0,0,0,0,18077,0,2020
 OUTRAS FONTES PRIMÁRIAS ,25171,0,0,0,0,0,0,0,698,144,0,0,0,0,0,0,8429,0,2020
 ENERGIA PRIMÁRIA TOTAL ,342538,32553,39,-70885,-1224,-19708,216,19023,8350,314,20,3197,1658,0,0,0,44165,0,2020
 BIODIESEL ,0,0,-14,0,0,0,0,0,0,3,0,735,4007,111,0,0,116,0,2020
 ÓLEO DIESEL ,0,10171,40,-805,0,0,0,501,0,28,4,6230,33946,940,0,313,985,0,2020
 ÓLEO COMBUSTÍVEL ,0,37,-65,-13883,0,0,0,111,0,10,6,10,0,0,0,826,1420,0,2020
 GASOLINA ,0,3805,62,-1824,0,0,0,0,0,0,0,0,20136,0,29,0,0,0,2020
 GLP ,0,2234,14,0,0,0,0,0,6739,339,260,23,0,0,0,0,994,0,2020
 NAFTA ,0,2932,-51,-58,0,0,4608,0,0,0,0,0,0,0,0,0,0,0,2020
 QUEROSENE ,0,268,30,-1135,0,0,1,0,1,0,0,0,0,0,1894,0,0,0,2020
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,1061,0,2020
 COQUE DE CARVÃO MINERAL ,0,936,89,0,0,0,0,0,0,0,0,0,0,0,0,0,6858,0,2020
 URÂNIO CONTIDO NO UO2,0,2593,-2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 ELETRICIDADE,0,2159,0,-33,0,0,0,3295,12800,7291,3683,2797,0,173,0,0,17060,0,2020
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,405,73,0,9,0,0,0,0,3859,0,2020
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,511,-113,-1062,0,0,734,0,0,0,0,8,15337,0,0,0,0,0,2020
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2057,-50,-566,0,0,0,3209,0,0,0,0,0,0,0,0,5582,0,2020
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1235,-18,-381,0,0,6868,0,0,0,0,0,0,0,0,0,0,0,2020
 ALCATRÃO ,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,77,0,2020
 ENERGIA SECUNDÁRIA TOTAL ,0,28943,-2989,-19753,0,0,12346,7293,19947,7747,3954,9814,73427,1224,1924,1140,38016,0,2020
 TOTAL  ,342538,61496,-2949,-90638,-1224,-19708,12563,26317,28298,8061,3975,13012,75085,1224,1924,1140,82181,0,2020
 PETRÓLEO ,144302,8885,-1718,-63507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
 GÁS NATURAL ,44397,8628,0,0,-1545,-15570,309,5277,407,119,27,0,2010,0,0,0,8306,0,2019
 CARVÃO VAPOR ,2162,4900,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,3439,0,2019
 CARVÃO METALÚRGICO ,0,7536,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
 URÂNIO U3O8 ,0,3072,2510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
 ENERGIA HIDRÁULICA ,34217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
 LENHA ,26411,0,0,0,0,0,0,0,7079,83,0,3171,0,0,0,0,7442,0,2019
 PRODUTOS DA CANA ,52861,0,0,0,0,0,0,15139,0,0,0,0,0,0,0,0,13174,0,2019
 OUTRAS FONTES PRIMÁRIAS ,23319,0,0,0,0,0,0,0,657,134,0,0,0,0,0,0,7698,0,2019
