Pais,Ano,Cap_Inst
China,2012,7
Estados Unidos,2012,3
Japão,2012,7
Alemanha,2012,34
Índia,2012,1
Austrália,2012,4
Itália,2012,17
Coreia do Sul,2012,1
Vietnã,2012,0
Espanha,2012,7
Brasil (14º),2012,0
China,2013,18
Estados Unidos,2013,7
Japão,2013,14
Alemanha,2013,37
Índia,2013,2
Austrália,2013,5
Itália,2013,18
Coreia do Sul,2013,2
Vietnã,2013,0
Espanha,2013,7
Brasil (14º),2013,0
China,2014,28
Estados Unidos,2014,18
Japão,2014,23
Alemanha,2014,38
Índia,2014,4
Austrália,2014,5
Itália,2014,19
Coreia do Sul,2014,2
Vietnã,2014,0
Espanha,2014,7
Brasil (14º),2014,0
China,2015,44
Estados Unidos,2015,23
Japão,2015,34
Alemanha,2015,39
Índia,2015,6
Austrália,2015,6
Itália,2015,19
Coreia do Sul,2015,4
Vietnã,2015,0
Espanha,2015,7
Brasil (14º),2015,0
China,2016,78
Estados Unidos,2016,35
Japão,2016,42
Alemanha,2016,41
Índia,2016,10
Austrália,2016,7
Itália,2016,19
Coreia do Sul,2016,5
Vietnã,2016,0
Espanha,2016,7
Brasil (14º),2016,0
China,2017,131
Estados Unidos,2017,43
Japão,2017,50
Alemanha,2017,42
Índia,2017,18
Austrália,2017,7
Itália,2017,20
Coreia do Sul,2017,6
Vietnã,2017,0
Espanha,2017,7
Brasil (14º),2017,1
China,2018,175
Estados Unidos,2018,51
Japão,2018,56
Alemanha,2018,45
Índia,2018,27
Austrália,2018,9
Itália,2018,20
Coreia do Sul,2018,8
Vietnã,2018,0
Espanha,2018,7
Brasil (14º),2018,2
China,2019,205
Estados Unidos,2019,61
Japão,2019,63
Alemanha,2019,49
Índia,2019,35
Austrália,2019,13
Itália,2019,21
Coreia do Sul,2019,12
Vietnã,2019,5
Espanha,2019,11
Brasil (14º),2019,4
China,2020,254
Estados Unidos,2020,76
Japão,2020,70
Alemanha,2020,54
Índia,2020,39
Austrália,2020,18
Itália,2020,22
Coreia do Sul,2020,15
Vietnã,2020,17
Espanha,2020,13
Brasil (14º),2020,8
China,2021,307
Estados Unidos,2021,94
Japão,2021,74
Alemanha,2021,59
Índia,2021,50
Austrália,2021,23
Itália,2021,23
Coreia do Sul,2021,18
Vietnã,2021,17
Espanha,2021,16
Brasil (14º),2021,13
