Tipo Expansão,Ano 2012,Ano 2015,Cenário
Expansão Centralizada,587.0,740,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Expansão por GD,99.0,65,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Expansão Centralizada,588.0,741,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Expansão por GD,99.0,65,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Expansão Centralizada,592.0,747,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Expansão por GD,99.0,65,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Expansão Centralizada,582.0,733,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Expansão por GD,99.0,65,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Expansão Centralizada,635.0,800,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão por GD,99.0,65,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão Centralizada,593.0,748,29. GN Pré-Sal ao preço de US$ 6MMBtu
Expansão por GD,99.0,65,29. GN Pré-Sal ao preço de US$ 6MMBtu
Expansão Centralizada,594.0,748,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Expansão por GD,99.0,65,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Expansão Centralizada,692.0,872,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Expansão por GD,99.0,65,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
Expansão Centralizada,580.0,731,08. Repotenciaç╞o de UHE
Expansão por GD,99.0,65,08. Repotenciaç╞o de UHE
Expansão Centralizada,587.0,739,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Expansão por GD,99.0,65,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
Expansão Centralizada,743.0,936,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Expansão por GD,99.0,65,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
Expansão Centralizada,573.0,722,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Expansão por GD,99.0,65,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Expansão Centralizada,568.0,715,43. Repotenciaç╞o de UHE
Expansão por GD,99.0,65,43. Repotenciaç╞o de UHE
Expansão Centralizada,573.0,722,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Expansão por GD,99.0,65,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Expansão Centralizada,591.0,745,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Expansão por GD,99.0,33,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Expansão Centralizada,573.0,722,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Expansão por GD,99.0,65,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Expansão Centralizada,620.0,782,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Expansão por GD,99.0,65,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
