Período,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
P.Médio,37.0,32,35,47,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
P.Crítico,51.0,47,54,63,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
P.Médio,37.0,21,25,33,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
P.Crítico,51.0,34,41,50,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
P.Médio,37.0,14,4,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
P.Crítico,51.0,21,5,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
P.Médio,38.0,18,21,30,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
P.Crítico,51.0,30,36,45,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
P.Médio,37.0,24,115,183,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Crítico,51.0,36,129,198,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Médio,37.0,23,16,16,29. GN Pré-Sal ao preço de US$ 6MMBtu
P.Crítico,51.0,37,31,29,29. GN Pré-Sal ao preço de US$ 6MMBtu
P.Médio,37.0,28,28,56,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
P.Crítico,51.0,42,42,71,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
P.Médio,49.0,23,24,35,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
P.Crítico,65.0,77,76,88,05. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica)
P.Médio,38.0,21,24,31,08. Repotenciaç╞o de UHE
P.Crítico,51.0,34,41,48,08. Repotenciaç╞o de UHE
P.Médio,38.0,19,24,31,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
P.Crítico,51.0,31,39,47,22. Reduç╞o de 45 por cento no CAPEX e no OPEX de Usina Nuclear
P.Médio,49.0,14,5,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
P.Crítico,65.0,26,6,0,41. Efeitos das Mudanças Climáticas (reduç╞o de disponibilidade hídrica) sem emissΣes
P.Médio,37.0,29,31,44,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
P.Crítico,51.0,44,48,56,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
P.Médio,37.0,19,18,31,43. Repotenciaç╞o de UHE
P.Crítico,51.0,32,33,43,43. Repotenciaç╞o de UHE
P.Médio,38.0,19,21,34,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
P.Crítico,51.0,33,35,45,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
P.Médio,37.0,21,21,43,63. Capacidade Instalada de GD limitada a 25 GW em 2050
P.Crítico,51.0,33,35,56,63. Capacidade Instalada de GD limitada a 25 GW em 2050
P.Médio,38.0,19,21,34,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
P.Crítico,51.0,33,35,45,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
P.Médio,37.0,28,33,55,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
P.Crítico,51.0,43,53,76,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
