Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Hidro,48825.0,70626,73070,71909,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Gás Natural,5788.0,4832,6689,9730,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Carvão,1827.0,2005,1667,1843,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Nuclear,1724.0,2962,3007,3052,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Óleos Comb,310.0,0,0,0,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Biomassa,4036.0,4590,4322,4096,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Eólica,2886.0,22504,47745,67866,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Solar,5.0,1722,8992,21077,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Outros,427.0,427,427,427,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Pot. Compl.,0.0,0,0,0,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
GD,1.0,3014,6338,11463,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Hidro,48825.0,70470,73816,72835,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Gás Natural,5788.0,4935,7058,10401,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Carvão,1827.0,622,285,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Nuclear,1724.0,2962,3007,3052,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Óleos Comb,310.0,0,0,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Biomassa,4036.0,4590,4326,4096,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Eólica,2886.0,23940,47834,67937,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Solar,5.0,1722,9167,21252,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Outros,427.0,427,427,427,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Pot. Compl.,0.0,0,0,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
GD,1.0,3014,6338,11463,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Hidro,48825.0,73000,80479,82762,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Gás Natural,5788.0,3844,3285,3155,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Carvão,1827.0,584,208,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Nuclear,1724.0,2962,2962,2962,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Óleos Comb,310.0,0,0,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Biomassa,4036.0,7218,6920,6724,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Eólica,2886.0,21089,50739,70986,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Solar,5.0,545,1327,13412,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Outros,427.0,427,0,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Pot. Compl.,0.0,0,0,0,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
GD,1.0,3014,6338,11463,38. Matriz Elétrica com expans╞o a partir de tecnologias n╞o emissoras de GEE
Hidro,48809.0,67922,71668,71324,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
Gás Natural,5804.0,4198,6033,9277,23. Reduç╞o de 50 por cento no CAPEX e no OPEX de Usina Nuclear
