Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Hidro,95236.0,132779,135150,135224,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Gás Natural,11242.0,17112,25238,31930,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Carvão,3173.0,4251,2340,2000,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Nuclear,1990.0,3395,3395,3395,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Óleos Comb,5183.0,0,0,0,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Biomassa,11999.0,13394,13394,13395,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Eólica,6556.0,49601,105344,149431,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Solar,20.0,6353,31963,74921,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Outros,490.0,490,490,490,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Pot. Compl.,0.0,13271,38657,67189,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
GD,17.0,13668,27728,49887,26. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Hidro,95236.0,132779,136568,136780,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Gás Natural,11242.0,17501,25626,32536,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Carvão,3173.0,2251,340,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Nuclear,1990.0,3395,3395,3395,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Óleos Comb,5183.0,0,0,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Biomassa,11999.0,13394,13394,13395,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Eólica,6556.0,52747,105167,149217,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Solar,20.0,6353,32585,75543,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Outros,490.0,490,490,490,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Pot. Compl.,0.0,13711,38556,66835,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
GD,17.0,13668,27728,49887,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
