Regiao,Ano,Cons_Med_An_PC
Brasil,2013,2305.79
Norte,2013,1766.54
Nordeste,2013,1439.96
Sudeste,2013,2837.96
Sul,2013,2800.02
Centro-Oeste,2013,2168.27
Brasil,2014,2343.69
Norte,2014,1866.79
Nordeste,2014,1450.6
Sudeste,2014,2842.46
Sul,2014,2930.08
Centro-Oeste,2014,2242.73
Brasil,2015,2279.35
Norte,2015,1918.03
Nordeste,2015,1414.96
Sudeste,2015,2740.83
Sul,2015,2815.08
Centro-Oeste,2015,2241.41
Brasil,2016,2241.86
Norte,2016,1923.88
Nordeste,2016,1412.34
Sudeste,2016,2664.46
Sul,2016,2802.3
Centro-Oeste,2016,2193.13
Brasil,2017,2249.75
Norte,2017,1911.29
Nordeste,2017,1408.64
Sudeste,2017,2661.16
Sul,2017,2867.61
Centro-Oeste,2017,2215.98
Brasil,2018,2272.89
Norte,2018,1771.82
Nordeste,2018,1414.34
Sudeste,2018,2712.42
Sul,2018,2918.91
Centro-Oeste,2018,2275.92
Brasil,2019,2287.39
Norte,2019,1783.47
Nordeste,2019,1453.09
Sudeste,2019,2688.53
Sul,2019,2972.36
Centro-Oeste,2019,2342.5
Brasil,2020,2242.29
Norte,2020,1847.81
Nordeste,2020,1411.13
Sudeste,2020,2608.88
Sul,2020,2927.74
Centro-Oeste,2020,2345.22
Brasil,2021,2323.99
Norte,2021,1917.87
Nordeste,2021,1507.49
Sudeste,2021,2682.85
Sul,2021,3040.9
Centro-Oeste,2021,2370.65
Brasil,2022,2363.02
Norte,2022,1982.83
Nordeste,2022,1515.93
Sudeste,2022,2738.78
Sul,2022,3083.75
Centro-Oeste,2022,2385.33
