Regiao,Ano,Cons_Med_Tot
Regiões geográficas,2013,515.88
Norte,2013,559.43
Nordeste,2013,338.41
Sudeste,2013,594.68
Sul,2013,594.66
Centro-Oeste,2013,472.33
Regiões geográficas,2014,512.74
Norte,2014,568.08
Nordeste,2014,331.14
Sudeste,2014,585.78
Sul,2014,609.24
Centro-Oeste,2014,477.37
Regiões geográficas,2015,490.59
Norte,2015,566.72
Nordeste,2015,315.79
Sudeste,2015,557.87
Sul,2015,577.85
Centro-Oeste,2015,470.03
Regiões geográficas,2016,477.3
Norte,2016,551.88
Nordeste,2016,309.23
Sudeste,2016,539.05
Sul,2016,570.99
Centro-Oeste,2016,458.61
Regiões geográficas,2017,472.09
Norte,2017,531.73
Nordeste,2017,304.29
Sudeste,2017,530.7
Sul,2017,575.89
Centro-Oeste,2017,460.3
Regiões geográficas,2018,473.78
Norte,2018,490.65
Nordeste,2018,302.88
Sudeste,2018,538.67
Sul,2018,579.34
Centro-Oeste,2018,469.39
Regiões geográficas,2019,472.67
Norte,2019,491.26
Nordeste,2019,305.6
Sudeste,2019,533.62
Sul,2019,580.44
Centro-Oeste,2019,477.23
Regiões geográficas,2020,458.25
Norte,2020,499.01
Nordeste,2020,293.35
Sudeste,2020,512.11
Sul,2020,568.85
Centro-Oeste,2020,470.78
Regiões geográficas,2021,476.65
Norte,2021,529.45
Nordeste,2021,305.11
Sudeste,2021,538.86
Sul,2021,593.67
Centro-Oeste,2021,467.46
Regiões geográficas,2022,468.64
Norte,2022,535.95
Nordeste,2022,301.76
Sudeste,2022,522.9
Sul,2022,581.99
Centro-Oeste,2022,465.68
