Fonte,Ano,Geracao
Hidráulica (i),2013,390992
Gás Natural,2013,68942
Derivados de Petróleo (ii),2013,22223
Carvão,2013,14801
Nuclear,2013,15450
Biomassa (iii),2013,39684
Eólica,2013,6578
Solar,2013,5
Outras (iv),2013,12160
Hidráulica (i),2014,373439
Gás Natural,2014,81073
Derivados de Petróleo (ii),2014,31529
Carvão,2014,18385
Nuclear,2014,15378
Biomassa (iii),2014,44987
Eólica,2014,12210
Solar,2014,16
Outras (iv),2014,13524
Hidráulica (i),2015,359743
Gás Natural,2015,79503
Derivados de Petróleo (ii),2015,25708
Carvão,2015,19096
Nuclear,2015,14734
Biomassa (iii),2015,47394
Eólica,2015,21626
Solar,2015,59
Outras (iv),2015,13623
Hidráulica (i),2016,380911
Gás Natural,2016,56550
Derivados de Petróleo (ii),2016,12207
Carvão,2016,17001
Nuclear,2016,15864
Biomassa (iii),2016,49236
Eólica,2016,33489
Solar,2016,85
Outras (iv),2016,13554
Hidráulica (i),2017,370906
Gás Natural,2017,65591
Derivados de Petróleo (ii),2017,12911
Carvão,2017,16257
Nuclear,2017,15739
Biomassa (iii),2017,49385
Eólica,2017,42373
Solar,2017,831
Outras (iv),2017,13968
Hidráulica (i),2018,388971
Gás Natural,2018,54295
Derivados de Petróleo (ii),2018,10293
Carvão,2018,14204
Nuclear,2018,15674
Biomassa (iii),2018,51876
Eólica,2018,48475
Solar,2018,3461
Outras (iv),2018,14147
Hidráulica (i),2019,397877
Gás Natural,2019,60188
Derivados de Petróleo (ii),2019,7846
Carvão,2019,15327
Nuclear,2019,16129
Biomassa (iii),2019,52111
Eólica,2019,55986
Solar,2019,6651
Outras (iv),2019,14210
Hidráulica (i),2020,396381
Gás Natural,2020,53515
Derivados de Petróleo (ii),2020,8556
Carvão,2020,11946
Nuclear,2020,14053
Biomassa (iii),2020,55613
Eólica,2020,57051
Solar,2020,10717
Outras (iv),2020,13387
Hidráulica (i),2021,362818
Gás Natural,2021,86861
Derivados de Petróleo (ii),2021,18244
Carvão,2021,17585
Nuclear,2021,14705
Biomassa (iii),2021,51711
Eólica,2021,72286
Solar,2021,16752
Outras (iv),2021,15147
Hidráulica (i),2022,427114
Gás Natural,2022,42035
Derivados de Petróleo (ii),2022,7816
Carvão,2022,7988
Nuclear,2022,14559
Biomassa (iii),2022,52047
Eólica,2022,81632
Solar,2022,30126
Outras (iv),2022,14121
