Pais,Ano,Geracao
Estados Unidos,2012,769
China,2012,97
França,2012,405
Rússia,2012,166
Coreia do Sul,2012,144
Canadá,2012,89
Ucrânia,2012,85
Alemanha,2012,94
Japão,2012,15
Espanha,2012,59
Brasil (22º),2012,16
Estados Unidos,2013,789
China,2013,112
França,2013,404
Rússia,2013,161
Coreia do Sul,2013,132
Canadá,2013,98
Ucrânia,2013,78
Alemanha,2013,92
Japão,2013,10
Espanha,2013,54
Brasil (22º),2013,15
Estados Unidos,2014,797
China,2014,133
França,2014,416
Rússia,2014,169
Coreia do Sul,2014,149
Canadá,2014,101
Ucrânia,2014,83
Alemanha,2014,92
Japão,2014,0
Espanha,2014,55
Brasil (22º),2014,15
Estados Unidos,2015,797
China,2015,171
França,2015,417
Rússia,2015,183
Coreia do Sul,2015,157
Canadá,2015,96
Ucrânia,2015,82
Alemanha,2015,87
Japão,2015,3
Espanha,2015,55
Brasil (22º),2015,15
Estados Unidos,2016,806
China,2016,213
França,2016,384
Rússia,2016,184
Coreia do Sul,2016,154
Canadá,2016,96
Ucrânia,2016,76
Alemanha,2016,80
Japão,2016,15
Espanha,2016,56
Brasil (22º),2016,16
Estados Unidos,2017,805
China,2017,248
França,2017,379
Rússia,2017,190
Coreia do Sul,2017,141
Canadá,2017,96
Ucrânia,2017,80
Alemanha,2017,72
Japão,2017,28
Espanha,2017,56
Brasil (22º),2017,16
Estados Unidos,2018,807
China,2018,294
França,2018,393
Rússia,2018,182
Coreia do Sul,2018,127
Canadá,2018,95
Ucrânia,2018,80
Alemanha,2018,72
Japão,2018,48
Espanha,2018,53
Brasil (22º),2018,16
Estados Unidos,2019,809
China,2019,348
França,2019,379
Rússia,2019,196
Coreia do Sul,2019,139
Canadá,2019,95
Ucrânia,2019,78
Alemanha,2019,71
Japão,2019,64
Espanha,2019,56
Brasil (22º),2019,16
Estados Unidos,2020,790
China,2020,366
França,2020,335
Rússia,2020,216
Coreia do Sul,2020,153
Canadá,2020,93
Ucrânia,2020,76
Alemanha,2020,61
Japão,2020,42
Espanha,2020,56
Brasil (22º),2020,14
Estados Unidos,2021,778
China,2021,408
França,2021,361
Rússia,2021,222
Coreia do Sul,2021,151
Canadá,2021,87
Ucrânia,2021,86
Alemanha,2021,65
Japão,2021,61
Espanha,2021,54
Brasil (22º),2021,15
