Pais,Ano,Geracao
China,2012,3648
Estados Unidos,2012,2775
Índia,2012,903
Japão,2012,928
Rússia,2012,679
Coreia do Sul,2012,360
Arábia Saudita,2012,271
Irã,2012,225
Alemanha,2012,351
Indonésia,2012,167
Brasil (22º),2012,81
China,2013,3957
Estados Unidos,2013,2746
Índia,2013,939
Japão,2013,906
Rússia,2013,659
Coreia do Sul,2013,376
Arábia Saudita,2013,284
Irã,2013,243
Alemanha,2013,354
Indonésia,2013,178
Brasil (22º),2013,117
China,2014,3985
Estados Unidos,2014,2751
Índia,2014,1037
Japão,2014,900
Rússia,2014,660
Coreia do Sul,2014,366
Arábia Saudita,2014,316
Irã,2014,256
Alemanha,2014,334
Indonésia,2014,190
Brasil (22º),2014,143
China,2015,4022
Estados Unidos,2015,2728
Índia,2015,1109
Japão,2015,856
Rússia,2015,657
Coreia do Sul,2015,357
Arábia Saudita,2015,337
Irã,2015,263
Alemanha,2015,333
Indonésia,2015,197
Brasil (22º),2015,136
China,2016,4172
Estados Unidos,2016,2655
Índia,2016,1163
Japão,2016,839
Rússia,2016,662
Coreia do Sul,2016,365
Arábia Saudita,2016,345
Irã,2016,266
Alemanha,2016,343
Indonésia,2016,204
Brasil (22º),2016,98
China,2017,4492
Estados Unidos,2017,2537
Índia,2017,1214
Japão,2017,814
Rússia,2017,658
Coreia do Sul,2017,380
Arábia Saudita,2017,355
Irã,2017,285
Alemanha,2017,329
Indonésia,2017,209
Brasil (22º),2017,107
China,2018,4684
Estados Unidos,2018,2660
Índia,2018,1281
Japão,2018,790
Rússia,2018,671
Coreia do Sul,2018,411
Arábia Saudita,2018,364
Irã,2018,285
Alemanha,2018,311
Indonésia,2018,220
Brasil (22º),2018,91
China,2019,4802
Estados Unidos,2019,2584
Índia,2019,1276
Japão,2019,742
Rússia,2019,668
Coreia do Sul,2019,388
Arábia Saudita,2019,362
Irã,2019,299
Alemanha,2019,264
Indonésia,2019,231
Brasil (22º),2019,95
China,2020,4926
Estados Unidos,2020,2429
Índia,2020,1225
Japão,2020,725
Rússia,2020,610
Coreia do Sul,2020,364
Arábia Saudita,2020,344
Irã,2020,302
Alemanha,2020,233
Indonésia,2020,237
Brasil (22º),2020,85
China,2021,5392
Estados Unidos,2021,2504
Índia,2021,1318
Japão,2021,690
Rússia,2021,663
Coreia do Sul,2021,391
Arábia Saudita,2021,366
Irã,2021,321
Alemanha,2021,261
Indonésia,2021,250
Brasil (22º),2021,135
