pais,val_cons,ano
Canadá,105.4,2013
Canadá,109.8,2014
Canadá,110.3,2015
Canadá,105.2,2016
Canadá,109.8,2017
Canadá,116.2,2018
Canadá,116.9,2019
Canadá,113.6,2020
Canadá,117.0,2021
Canadá,122.0,2022
Estados Unidos,707.0,2013
Estados Unidos,722.3,2014
Estados Unidos,743.6,2015
Estados Unidos,749.1,2016
Estados Unidos,740.0,2017
Estados Unidos,822.0,2018
Estados Unidos,851.0,2019
Estados Unidos,832.9,2020
Estados Unidos,835.8,2021
Estados Unidos,881.0,2022
México,77.8,2013
México,78.8,2014
México,80.8,2015
México,83.0,2016
México,86.0,2017
México,90.3,2018
México,93.4,2019
México,94.5,2020
México,97.3,2021
México,97.0,2022
Brasil,38.4,2013
Brasil,40.7,2014
Brasil,42.9,2015
Brasil,37.1,2016
Brasil,37.6,2017
Brasil,35.9,2018
Brasil,35.7,2019
Brasil,31.4,2020
Brasil,40.4,2021
Brasil,32.0,2022
Alemanha,85.0,2013
Alemanha,73.9,2014
Alemanha,77.0,2015
Alemanha,84.9,2016
Alemanha,87.7,2017
Alemanha,85.9,2018
Alemanha,89.3,2019
Alemanha,87.1,2020
Alemanha,91.7,2021
Alemanha,77.0,2022
Reino Unido,76.3,2013
Reino Unido,70.1,2014
Reino Unido,72.0,2015
Reino Unido,80.7,2016
Reino Unido,78.5,2017
Reino Unido,78.6,2018
Reino Unido,77.7,2019
Reino Unido,73.1,2020
Reino Unido,77.8,2021
Reino Unido,72.0,2022
Rússia,424.9,2013
Rússia,422.2,2014
Rússia,408.7,2015
Rússia,420.6,2016
Rússia,431.1,2017
Rússia,454.5,2018
Rússia,444.3,2019
Rússia,423.5,2020
Rússia,474.6,2021
Rússia,408.0,2022
Arábia Saudita,95.0,2013
Arábia Saudita,97.3,2014
Arábia Saudita,99.2,2015
Arábia Saudita,105.3,2016
Arábia Saudita,109.3,2017
Arábia Saudita,112.1,2018
Arábia Saudita,111.2,2019
Arábia Saudita,113.1,2020
Arábia Saudita,114.5,2021
Arábia Saudita,120.0,2022
Irã,153.8,2013
Irã,173.4,2014
Irã,184.0,2015
Irã,196.3,2016
Irã,205.0,2017
Irã,212.6,2018
Irã,218.4,2019
Irã,236.8,2020
Irã,236.5,2021
Irã,229.0,2022
China,171.9,2013
China,188.4,2014
China,194.7,2015
China,209.4,2016
China,241.3,2017
China,283.9,2018
China,308.4,2019
China,336.6,2020
China,380.3,2021
China,376.0,2022
Japão,123.5,2013
Japão,124.8,2014
Japão,118.7,2015
Japão,116.4,2016
Japão,117.0,2017
Japão,115.7,2018
Japão,108.1,2019
Japão,104.1,2020
Japão,103.6,2021
Japão,100.0,2022
