regiao,prod_biodiesel,ano
Região Norte ,13553.0,2013
Região Norte ,10977.02,2014
Região Norte ,4139.99,2015
Região Norte ,1034.54,2016
Região Norte ,7260.15,2017
Região Norte ,16231.51,2018
Região Norte ,15861.52,2019
Região Norte ,6854.16,2020
Região Norte ,3724.07,2021
Região Norte ,18554.64,2022
Região Norte ,0.0,2013
Região Norte ,0.0,2014
Região Norte ,0.0,2015
Região Norte ,0.0,2016
Região Norte ,0.0,2017
Região Norte ,0.0,2018
Região Norte ,0.0,2019
Região Norte ,0.0,2020
Região Norte ,0.0,2021
Região Norte ,49577.42,2022
Região Norte ,48687.0,2013
Região Norte ,73604.05,2014
Região Norte ,62084.76,2015
Região Norte ,37923.25,2016
Região Norte ,561.14,2017
Região Norte ,85100.71,2018
Região Norte ,92489.32,2019
Região Norte ,141757.11,2020
Região Norte ,140697.66,2021
Região Norte ,94668.95,2022
Região Nordeste ,0.0,2013
Região Nordeste ,0.0,2014
Região Nordeste ,0.0,2015
Região Nordeste ,0.0,2016
Região Nordeste ,0.0,2017
Região Nordeste ,0.0,2018
Região Nordeste ,0.0,2019
Região Nordeste ,39643.02,2020
Região Nordeste ,42391.91,2021
Região Nordeste ,54289.78,2022
Região Nordeste ,84191.0,2013
Região Nordeste ,72983.6,2014
Região Nordeste ,87433.71,2015
Região Nordeste ,59389.65,2016
Região Nordeste ,0.0,2017
Região Nordeste ,0.0,2018
Região Nordeste ,0.0,2019
Região Nordeste ,0.0,2020
Região Nordeste ,0.0,2021
Região Nordeste ,0.0,2022
Região Nordeste ,0.0,2013
Região Nordeste ,0.0,2014
Região Nordeste ,1798.79,2015
Região Nordeste ,0.0,2016
Região Nordeste ,0.0,2017
Região Nordeste ,0.0,2018
Região Nordeste ,0.0,2019
Região Nordeste ,0.0,2020
Região Nordeste ,0.0,2021
Região Nordeste ,0.0,2022
Região Nordeste ,194188.0,2013
Região Nordeste ,160191.91,2014
Região Nordeste ,225484.05,2015
Região Nordeste ,245215.26,2016
Região Nordeste ,290944.79,2017
Região Nordeste ,376337.64,2018
Região Nordeste ,454325.59,2019
Região Nordeste ,438580.9,2020
Região Nordeste ,410429.54,2021
Região Nordeste ,577300.31,2022
Região Sudeste ,88020.0,2013
Região Sudeste ,83283.42,2014
Região Sudeste ,92258.39,2015
Região Sudeste ,94798.23,2016
Região Sudeste ,118136.42,2017
Região Sudeste ,127945.65,2018
Região Sudeste ,131111.98,2019
Região Sudeste ,131888.2,2020
Região Sudeste ,112201.05,2021
Região Sudeste ,128093.4,2022
Região Sudeste ,8891.0,2013
Região Sudeste ,17262.44,2014
Região Sudeste ,18704.25,2015
Região Sudeste ,21669.1,2016
Região Sudeste ,58237.08,2017
Região Sudeste ,96103.07,2018
Região Sudeste ,137673.22,2019
Região Sudeste ,141299.37,2020
Região Sudeste ,137877.83,2021
Região Sudeste ,134092.69,2022
Região Sudeste ,164462.0,2013
Região Sudeste ,170345.35,2014
Região Sudeste ,184473.06,2015
Região Sudeste ,137791.33,2016
Região Sudeste ,156246.17,2017
Região Sudeste ,233652.93,2018
Região Sudeste ,231089.63,2019
Região Sudeste ,232933.0,2020
Região Sudeste ,175198.08,2021
Região Sudeste ,186014.28,2022
Região Sul ,210716.0,2013
Região Sul ,319221.89,2014
Região Sul ,363688.71,2015
Região Sul ,392679.0,2016
Região Sul ,504233.41,2017
Região Sul ,597347.66,2018
Região Sul ,659340.1,2019
Região Sul ,809335.78,2020
Região Sul ,1224552.0,2021
Região Sul ,844045.55,2022
Região Sul ,38358.0,2013
Região Sul ,68451.58,2014
Região Sul ,34488.52,2015
Região Sul ,89252.13,2016
Região Sul ,121964.95,2017
Região Sul ,122131.45,2018
Região Sul ,130473.4,2019
Região Sul ,139944.62,2020
Região Sul ,101798.34,2021
Região Sul ,283343.54,2022
Região Sul ,883331.0,2013
Região Sul ,973646.94,2014
Região Sul ,1114307.26,2015
Região Sul ,1074758.96,2016
Região Sul ,1135975.8,2017
Região Sul ,1479447.69,2018
Região Sul ,1606884.62,2019
Região Sul ,1791980.78,2020
Região Sul ,1855787.22,2021
Região Sul ,1525929.15,2022
Região Centro-Oeste ,188897.0,2013
Região Centro-Oeste ,217296.71,2014
Região Centro-Oeste ,207483.63,2015
Região Centro-Oeste ,178236.89,2016
Região Centro-Oeste ,265707.08,2017
Região Centro-Oeste ,324483.04,2018
Região Centro-Oeste ,343493.39,2019
Região Centro-Oeste ,308890.05,2020
Região Centro-Oeste ,274897.34,2021
Região Centro-Oeste ,189597.97,2022
Região Centro-Oeste ,418480.0,2013
Região Centro-Oeste ,611107.7,2014
Região Centro-Oeste ,845671.43,2015
Região Centro-Oeste ,818669.13,2016
Região Centro-Oeste ,914002.41,2017
Região Centro-Oeste ,1119551.75,2018
Região Centro-Oeste ,1234971.9,2019
Região Centro-Oeste ,1383384.42,2020
Região Centro-Oeste ,1321594.14,2021
Região Centro-Oeste ,1065366.17,2022
Região Centro-Oeste ,575715.0,2013
Região Centro-Oeste ,643837.29,2014
Região Centro-Oeste ,695251.99,2015
Região Centro-Oeste ,649921.53,2016
Região Centro-Oeste ,716570.29,2017
Região Centro-Oeste ,758195.59,2018
Região Centro-Oeste ,865051.08,2019
Região Centro-Oeste ,878498.16,2020
Região Centro-Oeste ,964640.54,2021
Região Centro-Oeste ,1103862.03,2022
