localizacao,ano,prod_gn
Terra,2013,4150300
Terra,2014,4703830
Terra,2015,5060170
Terra,2016,5106160
Terra,2017,4756450
Terra,2018,5215970
Terra,2019,5571080
Terra,2020,4957180
Terra,2021,4957090
Terra,2022,5067570
Terra,2013,1419700
Terra,2014,1968440
Terra,2015,1565330
Terra,2016,1926290
Terra,2017,1617240
Terra,2018,1410910
Terra,2019,1395130
Terra,2020,1350390
Terra,2021,2141120
Terra,2022,927790
Terra,2013,300
Terra,2014,360
Terra,2015,420
Terra,2016,450
Terra,2017,360
Terra,2018,310
Terra,2019,340
Terra,2020,350
Terra,2021,310
Terra,2022,290
Mar,2013,33100
Mar,2014,32400
Mar,2015,27070
Mar,2016,36930
Mar,2017,30090
Mar,2018,35420
Mar,2019,28140
Mar,2020,5890
Mar,2021,0
Mar,2022,0
Terra,2013,277500
Terra,2014,269290
Terra,2015,238380
Terra,2016,235010
Terra,2017,217990
Terra,2018,206730
Terra,2019,198620
Terra,2020,157250
Terra,2021,186500
Terra,2022,283760
Mar,2013,268400
Mar,2014,220610
Mar,2015,188340
Mar,2016,153820
Mar,2017,181430
Mar,2018,144660
Mar,2019,136190
Mar,2020,87730
Mar,2021,58380
Mar,2022,53190
Terra,2013,499500
Terra,2014,460230
Terra,2015,358370
Terra,2016,355810
Terra,2017,334590
Terra,2018,346010
Terra,2019,301780
Terra,2020,268630
Terra,2021,152040
Terra,2022,229110
Mar,2013,86800
Mar,2014,75090
Mar,2015,69010
Mar,2016,62470
Mar,2017,57100
Mar,2018,61480
Mar,2019,12730
Mar,2020,40890
Mar,2021,49830
Mar,2022,44860
Terra,2013,93000
Terra,2014,97400
Terra,2015,83210
Terra,2016,65340
Terra,2017,50010
Terra,2018,37450
Terra,2019,40420
Terra,2020,25480
Terra,2021,16550
Terra,2022,8100
Mar,2013,963700
Mar,2014,960590
Mar,2015,780600
Mar,2016,883880
Mar,2017,761770
Mar,2018,753880
Mar,2019,605010
Mar,2020,147940
Mar,2021,1700
Mar,2022,1010
Terra,2013,989900
Terra,2014,934050
Terra,2015,997200
Terra,2016,931170
Terra,2017,808730
Terra,2018,764780
Terra,2019,759100
Terra,2020,691800
Terra,2021,807870
Terra,2022,862330
Mar,2013,2183000
Mar,2014,2162620
Mar,2015,2043560
Mar,2016,1793070
Mar,2017,1778630
Mar,2018,1788150
Mar,2019,1323600
Mar,2020,871260
Mar,2021,1175030
Mar,2022,926640
Terra,2013,81800
Terra,2014,73940
Terra,2015,85790
Terra,2016,79980
Terra,2017,62870
Terra,2018,31130
Terra,2019,32020
Terra,2020,27000
Terra,2021,26130
Terra,2022,20150
Mar,2013,4333500
Mar,2014,4675600
Mar,2015,4028570
Mar,2016,3814740
Mar,2017,3958720
Mar,2018,3431750
Mar,2019,2639700
Mar,2020,2276820
Mar,2021,1971200
Mar,2022,1223650
Mar,2013,10005800
Mar,2014,11097350
Mar,2015,14061970
Mar,2016,16613080
Mar,2017,18615140
Mar,2018,20197580
Mar,2019,24986190
Mar,2020,29566620
Mar,2021,31223340
Mar,2022,34776480
Mar,2013,2787800
Mar,2014,4163080
Mar,2015,5538440
Mar,2016,5832250
Mar,2017,6886260
Mar,2018,6431010
Mar,2019,6694190
Mar,2020,6155990
Mar,2021,6057240
Mar,2022,5909020
Terra,2013,0
Terra,2014,0
Terra,2015,0
Terra,2016,0
Terra,2017,0
Terra,2018,0
Terra,2019,0
Terra,2020,0
Terra,2021,0
Terra,2022,4130
