localizacao,ano,prod_pet
Terra,2013,11270.0
Terra,2014,10222.16
Terra,2015,9600.58
Terra,2016,8560.6
Terra,2017,7481.97
Terra,2018,7462.23
Terra,2019,6814.49
Terra,2020,5776.66
Terra,2021,5327.63
Terra,2022,4900.14
Terra,2013,29.0
Terra,2014,42.96
Terra,2015,4.48
Terra,2016,13.85
Terra,2017,13.42
Terra,2018,15.41
Terra,2019,19.67
Terra,2020,24.37
Terra,2021,29.85
Terra,2022,14.36
Terra,2013,413.0
Terra,2014,446.21
Terra,2015,533.24
Terra,2016,566.8
Terra,2017,447.91
Terra,2018,384.14
Terra,2019,316.24
Terra,2020,281.81
Terra,2021,246.83
Terra,2022,223.08
Mar,2013,2633.0
Mar,2014,2221.04
Mar,2015,1900.73
Mar,2016,1927.62
Mar,2017,1557.7
Mar,2018,1583.68
Mar,2019,1539.0
Mar,2020,305.88
Mar,2021,0.0
Mar,2022,0.0
Terra,2013,19116.0
Terra,2014,18347.12
Terra,2015,18246.6
Terra,2016,18176.2
Terra,2017,15204.7
Terra,2018,12830.03
Terra,2019,12199.25
Terra,2020,11722.68
Terra,2021,11887.27
Terra,2022,11904.93
Mar,2013,2708.0
Mar,2014,2614.78
Mar,2015,2593.76
Mar,2016,2257.18
Mar,2017,2096.17
Mar,2018,1870.36
Mar,2019,1711.17
Mar,2020,970.16
Mar,2021,340.13
Mar,2022,88.01
Terra,2013,1310.0
Terra,2014,1519.05
Terra,2015,1555.58
Terra,2016,1498.62
Terra,2017,1138.96
Terra,2018,929.48
Terra,2019,966.79
Terra,2020,909.7
Terra,2021,655.18
Terra,2022,857.29
Mar,2013,131.0
Mar,2014,114.52
Mar,2015,97.38
Mar,2016,55.01
Mar,2017,50.44
Mar,2018,43.39
Mar,2019,8.31
Mar,2020,20.19
Mar,2021,19.49
Mar,2022,24.69
Terra,2013,10627.0
Terra,2014,10132.93
Terra,2015,9171.31
Terra,2016,8186.83
Terra,2017,6571.96
Terra,2018,4852.62
Terra,2019,4087.09
Terra,2020,3756.05
Terra,2021,2821.79
Terra,2022,1280.9
Mar,2013,3620.0
Mar,2014,4839.03
Mar,2015,2992.31
Mar,2016,2714.92
Mar,2017,1899.29
Mar,2018,1775.78
Mar,2019,1288.21
Mar,2020,715.69
Mar,2021,81.11
Mar,2022,82.59
Terra,2013,15777.0
Terra,2014,15631.7
Terra,2015,14189.67
Terra,2016,12994.44
Terra,2017,11631.06
Terra,2018,10585.96
Terra,2019,10119.03
Terra,2020,9002.0
Terra,2021,8069.48
Terra,2022,7130.72
Mar,2013,385.0
Mar,2014,355.64
Mar,2015,240.16
Mar,2016,281.36
Mar,2017,205.66
Mar,2018,193.11
Mar,2019,144.03
Mar,2020,105.67
Mar,2021,122.12
Mar,2022,92.52
Terra,2013,5350.0
Terra,2014,5234.92
Terra,2015,5066.19
Terra,2016,4690.26
Terra,2017,3890.99
Terra,2018,3587.87
Terra,2019,3471.52
Terra,2020,3256.44
Terra,2021,2988.88
Terra,2022,2602.8
Mar,2013,108034.0
Mar,2014,128739.0
Mar,2015,136581.48
Mar,2016,139489.5
Mar,2017,133868.71
Mar,2018,118720.88
Mar,2019,101517.05
Mar,2020,87144.15
Mar,2021,73890.73
Mar,2022,47678.97
Mar,2013,532036.0
Mar,2014,563231.53
Mar,2015,596924.27
Mar,2016,614712.98
Mar,2017,650854.3
Mar,2018,662818.21
Mar,2019,765869.13
Mar,2020,853802.81
Mar,2021,854662.22
Mar,2022,932430.59
Mar,2013,25274.0
Mar,2014,59235.39
Mar,2015,89967.87
Mar,2016,102604.84
Mar,2017,120014.43
Mar,2018,116464.27
Mar,2019,107460.47
Mar,2020,98226.11
Mar,2021,99226.31
Mar,2022,93538.06
