localizacao,ano,queima_perda_pet
Terra,2013,171800
Terra,2014,114500
Terra,2015,82210
Terra,2016,109980
Terra,2017,99450
Terra,2018,66590
Terra,2019,81940
Terra,2020,69420
Terra,2021,76770
Terra,2022,76130
Terra,2013,7000
Terra,2014,2280
Terra,2015,2730
Terra,2016,2040
Terra,2017,3870
Terra,2018,2410
Terra,2019,3780
Terra,2020,5190
Terra,2021,6700
Terra,2022,4480
Terra,2013,300
Terra,2014,360
Terra,2015,420
Terra,2016,450
Terra,2017,360
Terra,2018,310
Terra,2019,340
Terra,2020,350
Terra,2021,310
Terra,2022,290
Mar,2013,2400
Mar,2014,3430
Mar,2015,4930
Mar,2016,2830
Mar,2017,1930
Mar,2018,2190
Mar,2019,2250
Mar,2020,440
Mar,2021,0
Mar,2022,0
Terra,2013,17000
Terra,2014,17520
Terra,2015,22450
Terra,2016,22580
Terra,2017,20360
Terra,2018,15570
Terra,2019,15310
Terra,2020,16040
Terra,2021,21980
Terra,2022,16370
Mar,2013,5100
Mar,2014,4340
Mar,2015,4860
Mar,2016,4880
Mar,2017,4490
Mar,2018,3790
Mar,2019,2320
Mar,2020,1750
Mar,2021,590
Mar,2022,0
Terra,2013,5400
Terra,2014,5350
Terra,2015,6160
Terra,2016,6040
Terra,2017,6300
Terra,2018,5960
Terra,2019,5640
Terra,2020,5780
Terra,2021,5520
Terra,2022,5890
Terra,2013,10600
Terra,2014,8830
Terra,2015,9480
Terra,2016,6970
Terra,2017,5550
Terra,2018,6740
Terra,2019,7460
Terra,2020,7590
Terra,2021,6180
Terra,2022,3540
Mar,2013,19600
Mar,2014,23380
Mar,2015,23360
Mar,2016,22760
Mar,2017,19790
Mar,2018,16770
Mar,2019,17830
Mar,2020,16280
Mar,2021,650
Mar,2022,320
Terra,2013,40400
Terra,2014,46530
Terra,2015,36750
Terra,2016,34500
Terra,2017,26600
Terra,2018,23380
Terra,2019,24550
Terra,2020,28380
Terra,2021,24240
Terra,2022,22350
Mar,2013,1600
Mar,2014,1150
Mar,2015,2510
Mar,2016,1240
Mar,2017,1050
Mar,2018,1220
Mar,2019,1510
Mar,2020,1160
Mar,2021,2200
Mar,2022,1290
Terra,2013,9300
Terra,2014,8490
Terra,2015,8460
Terra,2016,8450
Terra,2017,7010
Terra,2018,5900
Terra,2019,6690
Terra,2020,5700
Terra,2021,5320
Terra,2022,4620
Mar,2013,125000
Mar,2014,270750
Mar,2015,107360
Mar,2016,79320
Mar,2017,81000
Mar,2018,70480
Mar,2019,70300
Mar,2020,54980
Mar,2021,64260
Mar,2022,44040
Mar,2013,751400
Mar,2014,1037210
Mar,2015,998550
Mar,2016,1116390
Mar,2017,1000170
Mar,2018,1057500
Mar,2019,1235580
Mar,2020,973010
Mar,2021,958950
Mar,2022,1031921
Mar,2013,135900
Mar,2014,75100
Mar,2015,87440
Mar,2016,65650
Mar,2017,99200
Mar,2018,79380
Mar,2019,114220
Mar,2020,46520
Mar,2021,60060
Mar,2022,58840
