pais,val_res,ano
Estados Unidos,9060,2011
Estados Unidos,8350,2012
Estados Unidos,9170,2013
Estados Unidos,10000,2014
Estados Unidos,8340,2015
Estados Unidos,8740,2016
Estados Unidos,11890,2017
Estados Unidos,12870,2018
Estados Unidos,12620,2019
Estados Unidos,13000,2020
Brasil,470,2011
Brasil,470,2012
Brasil,470,2013
Brasil,490,2014
Brasil,430,2015
Brasil,380,2016
Brasil,370,2017
Brasil,370,2018
Brasil,370,2019
Brasil,0,2020
Venezuela,6140,2011
Venezuela,6170,2012
Venezuela,6190,2013
Venezuela,6240,2014
Venezuela,6330,2015
Venezuela,6370,2016
Venezuela,6340,2017
Venezuela,6300,2018
Venezuela,6260,2019
Venezuela,6000,2020
Rússia,34460,2011
Rússia,34640,2012
Rússia,34940,2013
Rússia,35050,2014
Rússia,34960,2015
Rússia,34830,2016
Rússia,37890,2017
Rússia,37640,2018
Rússia,37560,2019
Rússia,37000,2020
Turcomenistão,13600,2011
Turcomenistão,13600,2012
Turcomenistão,13600,2013
Turcomenistão,13600,2014
Turcomenistão,13600,2015
Turcomenistão,13600,2016
Turcomenistão,13600,2017
Turcomenistão,13600,2018
Turcomenistão,13600,2019
Turcomenistão,14000,2020
Arábia Saudita,7600,2011
Arábia Saudita,7660,2012
Arábia Saudita,7760,2013
Arábia Saudita,7910,2014
Arábia Saudita,8010,2015
Arábia Saudita,8039,2016
Arábia Saudita,5650,2017
Arábia Saudita,5890,2018
Arábia Saudita,5980,2019
Arábia Saudita,6000,2020
Catar,25920,2011
Catar,25760,2012
Catar,25540,2013
Catar,25390,2014
Catar,25150,2015
Catar,24920,2016
Catar,24700,2017
Catar,24680,2018
Catar,24670,2019
Catar,25000,2020
Emirados Árabes Unidos,5940,2011
Emirados Árabes Unidos,5940,2012
Emirados Árabes Unidos,5940,2013
Emirados Árabes Unidos,5940,2014
Emirados Árabes Unidos,5940,2015
Emirados Árabes Unidos,5940,2016
Emirados Árabes Unidos,5940,2017
Emirados Árabes Unidos,5940,2018
Emirados Árabes Unidos,5940,2019
Emirados Árabes Unidos,6000,2020
Irã,32780,2011
Irã,31910,2012
Irã,32130,2013
Irã,32130,2014
Irã,31640,2015
Irã,31850,2016
Irã,31930,2017
Irã,32020,2018
Irã,32100,2019
Irã,32000,2020
Nigéria,4920,2011
Nigéria,4860,2012
Nigéria,4850,2013
Nigéria,5060,2014
Nigéria,5020,2015
Nigéria,5200,2016
Nigéria,5350,2017
Nigéria,5390,2018
Nigéria,5470,2019
Nigéria,5000,2020
China,2930,2011
China,3140,2012
China,3370,2013
China,3580,2014
China,4680,2015
China,5480,2016
China,6070,2017
China,6360,2018
China,8400,2019
China,8000,2020
