Pais,Ano,Cap_Inst
China,2012,62
Estados Unidos,2012,59
Alemanha,2012,31
Índia,2012,18
Espanha,2012,23
Reino Unido,2012,9
Brasil,2012,2
França,2012,8
Canadá,2012,6
Suécia,2012,4
China,2013,77
Estados Unidos,2013,60
Alemanha,2013,33
Índia,2013,20
Espanha,2013,23
Reino Unido,2013,11
Brasil,2013,2
França,2013,8
Canadá,2013,8
Suécia,2013,4
China,2014,97
Estados Unidos,2014,64
Alemanha,2014,39
Índia,2014,22
Espanha,2014,23
Reino Unido,2014,13
Brasil,2014,5
França,2014,9
Canadá,2014,10
Suécia,2014,5
China,2015,131
Estados Unidos,2015,73
Alemanha,2015,45
Índia,2015,25
Espanha,2015,23
Reino Unido,2015,14
Brasil,2015,8
França,2015,10
Canadá,2015,11
Suécia,2015,6
China,2016,149
Estados Unidos,2016,81
Alemanha,2016,49
Índia,2016,28
Espanha,2016,23
Reino Unido,2016,16
Brasil,2016,10
França,2016,12
Canadá,2016,12
Suécia,2016,6
China,2017,164
Estados Unidos,2017,88
Alemanha,2017,56
Índia,2017,33
Espanha,2017,23
Reino Unido,2017,20
Brasil,2017,12
França,2017,14
Canadá,2017,12
Suécia,2017,7
China,2018,185
Estados Unidos,2018,94
Alemanha,2018,59
Índia,2018,35
Espanha,2018,23
Reino Unido,2018,22
Brasil,2018,14
França,2018,15
Canadá,2018,13
Suécia,2018,7
China,2019,210
Estados Unidos,2019,104
Alemanha,2019,61
Índia,2019,38
Espanha,2019,26
Reino Unido,2019,24
Brasil,2019,15
França,2019,16
Canadá,2019,13
Suécia,2019,9
China,2020,282
Estados Unidos,2020,118
Alemanha,2020,62
Índia,2020,39
Espanha,2020,27
Reino Unido,2020,24
Brasil,2020,17
França,2020,17
Canadá,2020,14
Suécia,2020,10
China,2021,329
Estados Unidos,2021,132
Alemanha,2021,64
Índia,2021,40
Espanha,2021,28
Reino Unido,2021,26
Brasil,2021,21
França,2021,19
Canadá,2021,14
Suécia,2021,12
