Pais,Ano,Cap_Inst
China,2012,249
Brasil,2012,84
Estados Unidos,2012,101
Canadá,2012,76
Rússia,2012,49
Índia,2012,44
Japão,2012,49
Noruega,2012,31
Turquia,2012,20
França,2012,26
China,2013,280
Brasil,2013,86
Estados Unidos,2013,102
Canadá,2013,76
Rússia,2013,50
Índia,2013,45
Japão,2013,49
Noruega,2013,31
Turquia,2013,22
França,2013,26
China,2014,305
Brasil,2014,89
Estados Unidos,2014,102
Canadá,2014,75
Rússia,2014,51
Índia,2014,46
Japão,2014,50
Noruega,2014,31
Turquia,2014,24
França,2014,26
China,2015,319
Brasil,2015,92
Estados Unidos,2015,102
Canadá,2015,79
Rússia,2015,51
Índia,2015,48
Japão,2015,50
Noruega,2015,31
Turquia,2015,26
França,2015,26
China,2016,332
Brasil,2016,97
Estados Unidos,2016,103
Canadá,2016,80
Rússia,2016,52
Índia,2016,49
Japão,2016,50
Noruega,2016,32
Turquia,2016,27
França,2016,26
China,2017,344
Brasil,2017,100
Estados Unidos,2017,103
Canadá,2017,81
Rússia,2017,52
Índia,2017,50
Japão,2017,50
Noruega,2017,32
Turquia,2017,27
França,2017,26
China,2018,352
Brasil,2018,104
Estados Unidos,2018,103
Canadá,2018,81
Rússia,2018,49
Índia,2018,50
Japão,2018,50
Noruega,2018,33
Turquia,2018,28
França,2018,26
China,2019,356
Brasil,2019,109
Estados Unidos,2019,103
Canadá,2019,82
Rússia,2019,50
Índia,2019,51
Japão,2019,50
Noruega,2019,33
Turquia,2019,29
França,2019,26
China,2020,370
Brasil,2020,109
Estados Unidos,2020,103
Canadá,2020,82
Rússia,2020,50
Índia,2020,51
Japão,2020,50
Noruega,2020,33
Turquia,2020,31
França,2020,26
China,2021,391
Brasil,2021,109
Estados Unidos,2021,103
Canadá,2021,82
Rússia,2021,56
Índia,2021,52
Japão,2021,50
Noruega,2021,33
Turquia,2021,32
França,2021,25
