Regiao,Ano,Cons_Med_Res
Regiões geográficas,2013,163
Norte,2013,167
Nordeste,2013,118
Sudeste,2013,181
Sul,2013,182
Centro-Oeste,2013,174
Regiões geográficas,2014,167
Norte,2014,179
Nordeste,2014,121
Sudeste,2014,183
Sul,2014,190
Centro-Oeste,2014,180
Regiões geográficas,2015,161
Norte,2015,184
Nordeste,2015,121
Sudeste,2015,175
Sul,2015,177
Centro-Oeste,2015,177
Regiões geográficas,2016,160
Norte,2016,183
Nordeste,2016,121
Sudeste,2016,171
Sul,2016,177
Centro-Oeste,2016,175
Regiões geográficas,2017,158
Norte,2017,175
Nordeste,2017,120
Sudeste,2017,169
Sul,2017,177
Centro-Oeste,2017,176
Regiões geográficas,2018,159
Norte,2018,169
Nordeste,2018,120
Sudeste,2018,171
Sul,2018,179
Centro-Oeste,2018,180
Regiões geográficas,2019,162
Norte,2019,168
Nordeste,2019,124
Sudeste,2019,173
Sul,2019,182
Centro-Oeste,2019,187
Regiões geográficas,2020,165
Norte,2020,177
Nordeste,2020,128
Sudeste,2020,174
Sul,2020,186
Centro-Oeste,2020,194
Regiões geográficas,2021,166
Norte,2021,183
Nordeste,2021,131
Sudeste,2021,174
Sul,2021,185
Centro-Oeste,2021,191
Regiões geográficas,2022,161
Norte,2022,184
Nordeste,2022,124
Sudeste,2022,168
Sul,2022,187
Centro-Oeste,2022,188
