Fonte,Ano,Cap_Inst
Usinas Hidrelétricas,2013,81132
PCH,2013,4620
CGH,2013,266
Gás Natural,2013,12300
Derivados de Petróleo,2013,7515
Carvão,2013,3389
Usinas Nucleares,2013,1990
Biomassa,2013,11449
Usinas Eólicas,2013,2202
Solar,2013,5
Outras,2013,1874
Usinas Hidrelétricas,2014,84095
PCH,2014,4790
CGH,2014,308
Gás Natural,2014,12550
Derivados de Petróleo,2014,7888
Carvão,2014,3389
Usinas Nucleares,2014,1990
Biomassa,2014,12183
Usinas Eólicas,2014,4888
Solar,2014,15
Outras,2014,1816
Usinas Hidrelétricas,2015,86366
PCH,2015,4886
CGH,2015,398
Gás Natural,2015,12428
Derivados de Petróleo,2015,8828
Carvão,2015,3389
Usinas Nucleares,2015,1990
Biomassa,2015,13069
Usinas Eólicas,2015,7633
Solar,2015,35
Outras,2015,1852
Usinas Hidrelétricas,2016,91499
PCH,2016,4941
CGH,2016,489
Gás Natural,2016,12965
Derivados de Petróleo,2016,8845
Carvão,2016,3389
Usinas Nucleares,2016,1990
Biomassa,2016,13919
Usinas Eólicas,2016,10124
Solar,2016,81
Outras,2016,2168
Usinas Hidrelétricas,2017,94662
PCH,2017,5020
CGH,2017,631
Gás Natural,2017,12984
Derivados de Petróleo,2017,8792
Carvão,2017,3324
Usinas Nucleares,2017,1990
Biomassa,2017,14297
Usinas Eólicas,2017,12294
Solar,2017,1110
Outras,2017,2255
Usinas Hidrelétricas,2018,98287
PCH,2018,5157
CGH,2018,754
Gás Natural,2018,13363
Derivados de Petróleo,2018,7549
Carvão,2018,2858
Usinas Nucleares,2018,1990
Biomassa,2018,14582
Usinas Eólicas,2018,14401
Solar,2018,2360
Outras,2018,2209
Usinas Hidrelétricas,2019,102999
PCH,2019,5291
CGH,2019,865
Gás Natural,2019,13391
Derivados de Petróleo,2019,7670
Carvão,2019,3228
Usinas Nucleares,2019,1990
Biomassa,2019,14718
Usinas Eólicas,2019,15388
Solar,2019,4465
Outras,2019,2275
Usinas Hidrelétricas,2020,103027
PCH,2020,5429
CGH,2020,838
Gás Natural,2020,14932
Derivados de Petróleo,2020,7696
Carvão,2020,3203
Usinas Nucleares,2020,1990
Biomassa,2020,15034
Usinas Eólicas,2020,17146
Solar,2020,7922
Outras,2020,2287
Usinas Hidrelétricas,2021,103003
PCH,2021,5513
CGH,2021,897
Gás Natural,2021,16225
Derivados de Petróleo,2021,7663
Carvão,2021,3203
Usinas Nucleares,2021,1990
Biomassa,2021,15610
Usinas Eólicas,2021,20786
Solar,2021,13404
Outras,2021,2281
Usinas Hidrelétricas,2022,103195
PCH,2022,5662
CGH,2022,949
Gás Natural,2022,17440
Derivados de Petróleo,2022,7185
Carvão,2022,3203
Usinas Nucleares,2022,1990
Biomassa,2022,16282
Usinas Eólicas,2022,23761
Solar,2022,24453
Outras,2022,2330
