Pais,Ano,Cap_Inst
Estados Unidos,2012,102
França,2012,63
China,2012,13
Rússia,2012,24
Coreia do Sul,2012,21
Canadá,2012,14
Ucrânia,2012,13
Japão,2012,44
Alemanha,2012,12
Espanha,2012,8
Brasil (22º),2012,2
Estados Unidos,2013,99
França,2013,63
China,2013,16
Rússia,2013,24
Coreia do Sul,2013,21
Canadá,2013,14
Ucrânia,2013,13
Japão,2013,42
Alemanha,2013,12
Espanha,2013,7
Brasil (22º),2013,2
Estados Unidos,2014,99
França,2014,63
China,2014,19
Rússia,2014,25
Coreia do Sul,2014,21
Canadá,2014,14
Ucrânia,2014,13
Japão,2014,0
Alemanha,2014,12
Espanha,2014,7
Brasil (22º),2014,2
Estados Unidos,2015,99
França,2015,63
China,2015,27
Rússia,2015,25
Coreia do Sul,2015,22
Canadá,2015,14
Ucrânia,2015,13
Japão,2015,1
Alemanha,2015,11
Espanha,2015,7
Brasil (22º),2015,2
Estados Unidos,2016,100
França,2016,63
China,2016,31
Rússia,2016,26
Coreia do Sul,2016,23
Canadá,2016,14
Ucrânia,2016,13
Japão,2016,2
Alemanha,2016,11
Espanha,2016,7
Brasil (22º),2016,2
Estados Unidos,2017,100
França,2017,63
China,2017,35
Rússia,2017,26
Coreia do Sul,2017,22
Canadá,2017,14
Ucrânia,2017,13
Japão,2017,6
Alemanha,2017,10
Espanha,2017,7
Brasil (22º),2017,2
Estados Unidos,2018,99
França,2018,63
China,2018,43
Rússia,2018,27
Coreia do Sul,2018,22
Canadá,2018,14
Ucrânia,2018,13
Japão,2018,9
Alemanha,2018,10
Espanha,2018,7
Brasil (22º),2018,2
Estados Unidos,2019,98
França,2019,63
China,2019,46
Rússia,2019,28
Coreia do Sul,2019,23
Canadá,2019,14
Ucrânia,2019,13
Japão,2019,9
Alemanha,2019,8
Espanha,2019,7
Brasil (22º),2019,2
Estados Unidos,2020,97
França,2020,61
China,2020,50
Rússia,2020,29
Coreia do Sul,2020,23
Canadá,2020,14
Ucrânia,2020,13
Japão,2020,8
Alemanha,2020,8
Espanha,2020,7
Brasil (22º),2020,2
Estados Unidos,2021,95
França,2021,61
China,2021,53
Rússia,2021,28
Coreia do Sul,2021,24
Canadá,2021,14
Ucrânia,2021,13
Japão,2021,9
Alemanha,2021,8
Espanha,2021,7
Brasil (22º),2021,2
