Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Hidro,62140,92455,91485,87962,26. Carvão financiado com redução de 20% no CAPEX
Gás Natural,10652,16214,23913,28028,26. Carvão financiado com redução de 20% no CAPEX
Carvão,2107,3189,1755,1500,26. Carvão financiado com redução de 20% no CAPEX
Nuclear,1652,2983,2983,2983,26. Carvão financiado com redução de 20% no CAPEX
Óleos Comb,4507,0,0,0,26. Carvão financiado com redução de 20% no CAPEX
Biomassa,4255,4945,4771,4554,26. Carvão financiado com redução de 20% no CAPEX
Eólica,1499,14411,30427,43653,26. Carvão financiado com redução de 20% no CAPEX
Solar,4,1271,6393,14984,26. Carvão financiado com redução de 20% no CAPEX
Outros,452,452,452,452,26. Carvão financiado com redução de 20% no CAPEX
Pot. Compl.,0,13271,38658,67189,26. Carvão financiado com redução de 20% no CAPEX
GD,0,904,2005,3733,26. Carvão financiado com redução de 20% no CAPEX
Hidro,63959,95535,107592,107428,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Gás Natural,10476,18469,27644,35650,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Carvão,2380,2635,1772,1772,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Nuclear,1652,2983,2983,2983,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Óleos Comb,3820,0,0,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Biomassa,3951,6645,8001,8377,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Eólica,574,11015,19780,37497,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Solar,4,1386,7518,7518,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Outros,452,452,452,452,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Pot. Compl.,0,10071,25095,49629,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
GD,0,904,2005,3733,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Hidro,65468,96125,106465,102960,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Gás Natural,9629,6559,1494,0,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Carvão,1566,1689,255,0,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Nuclear,1813,3144,3144,3144,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Óleos Comb,2478,0,0,0,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Biomassa,4265,14470,14297,13949,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Eólica,1593,14487,31346,44443,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Solar,4,434,944,9535,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Outros,452,452,0,0,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Pot. Compl.,0,11829,42891,77275,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
GD,0,904,2005,3733,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Hidro,65587,88969,90431,91885,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Gás Natural,9114,14620,23015,27410,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Carvão,2107,1689,255,0,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Nuclear,1652,11721,19586,19586,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,3553,0,0,0,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Biomassa,4041,5116,4943,4726,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Eólica,761,12549,25664,38030,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Solar,2,434,2582,11174,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Outros,452,452,452,452,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
