Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Hidro,48826,70627,73071,71910,26. Carvão financiado com redução de 20% no CAPEX
Gás Natural,5788,4833,6689,9731,26. Carvão financiado com redução de 20% no CAPEX
Carvão,1828,2005,1668,1843,26. Carvão financiado com redução de 20% no CAPEX
Nuclear,1725,2963,3008,3053,26. Carvão financiado com redução de 20% no CAPEX
Óleos Comb,311,0,0,0,26. Carvão financiado com redução de 20% no CAPEX
Biomassa,4037,4591,4323,4097,26. Carvão financiado com redução de 20% no CAPEX
Eólica,2887,22505,47746,67866,26. Carvão financiado com redução de 20% no CAPEX
Solar,5,1722,8992,21077,26. Carvão financiado com redução de 20% no CAPEX
Outros,428,428,428,428,26. Carvão financiado com redução de 20% no CAPEX
Pot. Compl.,0,0,0,0,26. Carvão financiado com redução de 20% no CAPEX
GD,2,3015,6339,11464,26. Carvão financiado com redução de 20% no CAPEX
Hidro,48826,70471,73817,72836,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Gás Natural,5788,4935,7058,10401,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Carvão,1828,623,285,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Nuclear,1725,2963,3008,3053,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Óleos Comb,311,0,0,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Biomassa,4037,4591,4326,4097,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Eólica,2887,23940,47834,67938,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Solar,5,1722,9167,21252,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Outros,428,428,428,428,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Pot. Compl.,0,0,0,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
GD,2,3015,6339,11464,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Hidro,48826,73000,80479,82763,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Gás Natural,5788,3844,3285,3155,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Carvão,1828,584,208,0,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Nuclear,1725,2963,2963,2963,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Óleos Comb,311,0,0,0,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Biomassa,4037,7219,6921,6724,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Eólica,2887,21089,50740,70986,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Solar,5,545,1327,13413,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Outros,428,428,0,0,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Pot. Compl.,0,0,0,0,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
GD,2,3015,6339,11464,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Hidro,48809,67923,71668,71324,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Gás Natural,5804,4199,6033,9277,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Carvão,1828,584,247,0,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Nuclear,1725,11576,20393,21154,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Óleos Comb,311,0,0,0,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Biomassa,4037,4745,4481,4251,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Eólica,2887,19672,39042,57853,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Solar,5,545,3632,15717,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Outros,428,428,428,428,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Pot. Compl.,0,0,0,0,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
GD,2,3015,6339,11464,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
Hidro,48826,72373,74648,75840,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,5788,5283,34480,56141,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,1828,812,324,0,14. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
