Subsistema,Ano,Cons_Med_Res
Subsistemas Elétricos,2013,162.99
Sistemas Isolados,2013,257.99
Norte,2013,122.61
Nordeste,2013,118.44
Sudeste/Centro-Oeste,2013,180.58
Sul,2013,181.57
Subsistemas Elétricos,2014,167.03
Sistemas Isolados,2014,200.82
Norte,2014,144.89
Nordeste,2014,121.3
Sudeste/Centro-Oeste,2014,183.06
Sul,2014,190.28
Subsistemas Elétricos,2015,161.37
Sistemas Isolados,2015,220.81
Norte,2015,148.94
Nordeste,2015,120.8
Sudeste/Centro-Oeste,2015,175.62
Sul,2015,177.38
Subsistemas Elétricos,2016,159.83
Sistemas Isolados,2016,189.64
Norte,2016,154.91
Nordeste,2016,121.01
Sudeste/Centro-Oeste,2016,172.54
Sul,2016,177.11
Subsistemas Elétricos,2017,157.92
Sistemas Isolados,2017,183.48
Norte,2017,148.36
Nordeste,2017,119.2
Sudeste/Centro-Oeste,2017,170.8
Sul,2017,177.02
Subsistemas Elétricos,2018,159.1
Sistemas Isolados,2018,178.51
Norte,2018,143.09
Nordeste,2018,120.63
Sudeste/Centro-Oeste,2018,172.83
Sul,2018,178.51
Subsistemas Elétricos,2019,161.73
Sistemas Isolados,2019,179.58
Norte,2019,141.95
Nordeste,2019,123.88
Sudeste/Centro-Oeste,2019,175.76
Sul,2019,181.57
Subsistemas Elétricos,2020,165.06
Sistemas Isolados,2020,187.93
Norte,2020,151.13
Nordeste,2020,127.86
Sudeste/Centro-Oeste,2020,177.43
Sul,2020,186.3
Subsistemas Elétricos,2021,165.93
Sistemas Isolados,2021,205.96
Norte,2021,155.52
Nordeste,2021,130.12
Sudeste/Centro-Oeste,2021,177.97
Sul,2021,184.99
Subsistemas Elétricos,2022,161.28
Sistemas Isolados,2022,204.92
Norte,2022,158.47
Nordeste,2022,122.02
Sudeste/Centro-Oeste,2022,171.9
Sul,2022,186.67
