Subsistema,Ano,Emissoes
SIN,2013,52.83
Autoprodução,2013,14.44
Sistema Isolado,2013,7.51
SIN,2014,71.0
Autoprodução,2014,15.77
Sistema Isolado,2014,7.3
SIN,2015,68.96
Autoprodução,2015,16.83
Sistema Isolado,2015,4.2
SIN,2016,45.35
Autoprodução,2016,16.99
Sistema Isolado,2016,2.37
SIN,2017,43.14
Autoprodução,2017,17.18
Sistema Isolado,2017,1.11
SIN,2018,33.68
Autoprodução,2018,17.04
Sistema Isolado,2018,1.95
SIN,2019,33.58
Autoprodução,2019,17.04
Sistema Isolado,2019,4.22
SIN,2020,30.02
Autoprodução,2020,21.08
Sistema Isolado,2020,2.58
SIN,2021,54.64
Autoprodução,2021,20.9
Sistema Isolado,2021,2.27
SIN,2022,21.61
Autoprodução,2022,20.26
Sistema Isolado,2022,2.46
