Fonte,Ano,Emissoes
Gás Natural,2013,26.08
Carvão,2013,15.68
Óleo Diesel,2013,3.06
Óleo Combustível,2013,8.01
Gás Natural,2014,7.11
Carvão,2014,13.16
Óleo Diesel,2014,31.45
Óleo Combustível,2014,19.28
Gás Natural,2015,7.73
Carvão,2015,10.82
Óleo Diesel,2015,30.52
Óleo Combustível,2015,19.89
Gás Natural,2016,3.41
Carvão,2016,4.29
Óleo Diesel,2016,20.3
Óleo Combustível,2016,17.35
Gás Natural,2017,0.63
Carvão,2017,4.44
Óleo Diesel,2017,24.22
Óleo Combustível,2017,13.85
Gás Natural,2018,0.56
Carvão,2018,2.31
Óleo Diesel,2018,18.9
Óleo Combustível,2018,11.91
Gás Natural,2019,0.11
Carvão,2019,0.86
Óleo Diesel,2019,19.5
Óleo Combustível,2019,13.11
Gás Natural,2020,18.49
Carvão,2020,10.18
Óleo Diesel,2020,0.42
Óleo Combustível,2020,0.94
Gás Natural,2021,31.22
Carvão,2021,16.39
Óleo Diesel,2021,1.58
Óleo Combustível,2021,5.45
Gás Natural,2022,12.04
Carvão,2022,7.14
Óleo Diesel,2022,2.4
Óleo Combustível,2022,0.03
