Pais,Ano,Geracao
China,2012,851
Canadá,2012,376
Brasil,2012,415
Estados Unidos,2012,271
Rússia,2012,165
Índia,2012,114
Noruega,2012,141
Japão,2012,73
Vietnã,2012,52
Suécia,2012,78
China,2013,897
Canadá,2013,388
Brasil,2013,391
Estados Unidos,2013,264
Rússia,2013,180
Índia,2013,135
Noruega,2013,127
Japão,2013,77
Vietnã,2013,51
Suécia,2013,61
China,2014,1036
Canadá,2014,379
Brasil,2014,373
Estados Unidos,2014,253
Rússia,2014,174
Índia,2014,129
Noruega,2014,135
Japão,2014,82
Vietnã,2014,59
Suécia,2014,63
China,2015,1098
Canadá,2015,378
Brasil,2015,360
Estados Unidos,2015,244
Rússia,2015,167
Índia,2015,121
Noruega,2015,136
Japão,2015,85
Vietnã,2015,57
Suécia,2015,75
China,2016,1131
Canadá,2016,381
Brasil,2016,381
Estados Unidos,2016,261
Rússia,2016,184
Índia,2016,123
Noruega,2016,142
Japão,2016,76
Vietnã,2016,64
Suécia,2016,62
China,2017,1142
Canadá,2017,391
Brasil,2017,371
Estados Unidos,2017,294
Rússia,2017,184
Índia,2017,126
Noruega,2017,141
Japão,2017,80
Vietnã,2017,86
Suécia,2017,65
China,2018,1176
Canadá,2018,382
Brasil,2018,389
Estados Unidos,2018,287
Rússia,2018,190
Índia,2018,135
Noruega,2018,138
Japão,2018,77
Vietnã,2018,83
Suécia,2018,62
China,2019,1249
Canadá,2019,376
Brasil,2019,398
Estados Unidos,2019,283
Rússia,2019,194
Índia,2019,156
Noruega,2019,123
Japão,2019,77
Vietnã,2019,66
Suécia,2019,64
China,2020,1310
Canadá,2020,381
Brasil,2020,396
Estados Unidos,2020,280
Rússia,2020,212
Índia,2020,151
Noruega,2020,141
Japão,2020,75
Vietnã,2020,73
Suécia,2020,72
China,2021,1263
Canadá,2021,377
Brasil,2021,363
Estados Unidos,2021,255
Rússia,2021,214
Índia,2021,165
Noruega,2021,144
Japão,2021,75
Vietnã,2021,74
Suécia,2021,71
