Pais,Ano,Geracao
China,2012,995
Estados Unidos,2012,510
Brasil,2012,456
Canadá,2012,398
Índia,2012,167
Alemanha,2012,146
Rússia,2012,169
Japão,2012,100
Noruega,2012,143
Espanha,2012,84
China,2013,1103
Estados Unidos,2013,539
Brasil,2013,438
Canadá,2013,417
Índia,2013,196
Alemanha,2013,156
Rússia,2013,184
Japão,2013,111
Noruega,2013,130
Espanha,2013,109
China,2014,1283
Estados Unidos,2014,557
Brasil,2014,432
Canadá,2014,412
Índia,2014,199
Alemanha,2014,166
Rússia,2014,178
Japão,2014,128
Noruega,2014,137
Espanha,2014,108
China,2015,1392
Estados Unidos,2015,567
Brasil,2015,430
Canadá,2015,417
Índia,2015,190
Alemanha,2015,192
Rússia,2015,171
Japão,2015,144
Noruega,2015,139
Espanha,2015,94
China,2016,1520
Estados Unidos,2016,635
Brasil,2016,466
Canadá,2016,426
Índia,2016,213
Alemanha,2016,193
Rússia,2016,187
Japão,2016,148
Noruega,2016,145
Espanha,2016,102
China,2017,1650
Estados Unidos,2017,717
Brasil,2017,465
Canadá,2017,437
Índia,2017,238
Alemanha,2017,219
Rússia,2017,188
Japão,2017,164
Noruega,2017,145
Espanha,2017,86
China,2018,1822
Estados Unidos,2018,743
Brasil,2018,495
Canadá,2018,429
Índia,2018,267
Alemanha,2018,225
Rússia,2018,194
Japão,2018,171
Noruega,2018,142
Espanha,2018,102
China,2019,2002
Estados Unidos,2019,772
Brasil,2019,515
Canadá,2019,423
Índia,2019,302
Alemanha,2019,242
Rússia,2019,199
Japão,2019,183
Noruega,2019,129
Espanha,2019,99
China,2020,2163
Estados Unidos,2020,832
Brasil,2020,522
Canadá,2020,431
Índia,2020,310
Alemanha,2020,252
Rússia,2020,219
Japão,2020,194
Noruega,2020,152
Espanha,2020,111
China,2021,2352
Estados Unidos,2021,882
Brasil,2021,507
Canadá,2021,427
Índia,2021,341
Alemanha,2021,231
Rússia,2021,224
Japão,2021,203
Noruega,2021,156
Espanha,2021,122
