PAIS,PRODUTO,DADO_TIPO,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Provisional
Australia,"Coal, peat and oil shale",Total energy supply (PJ),884.2974695,923.2501588,945.5418795,928.3230699,998.126664,996.3669687,1081.563936,998.1097953,1034.394032,1143.764226,1155.059919,1195.928044,1169.640094,1226.31511,1260.799822,1237.147475,1331.823571,1347.22721,1464.485767,1460.679944,1518.887028,1542.077219,1572.512115,1553.850505,1569.972908,1703.475872,1855.933572,1972.869141,2013.570427,2015.828506,2018.544471,2034.808062,2015.734458,2089.200434,2136.730512,2164.525266,2172.797014,2156.304351,2205.216884,2113.079216,2013.814178,1968.848884,1831.204342,1736.61351,1797.035545,1863.051458,1872.030679,1797.650326,1744.105366,1630.139075,1716.433649
Australia,"Crude, NGL and feedstocks",Total energy supply (PJ),1051.352762,1029.094259,1204.343587,1207.530253,1239.29908,1267.247553,1342.85241,1388.491038,1390.211047,1325.359968,1276.10034,1325.343535,1259.086667,1270.815942,1214.120837,1245.302621,1259.649499,1313.985241,1353.438914,1384.743752,1361.259463,1411.108546,1508.418504,1482.971849,1477.358163,1588.277477,1553.765119,1560.248605,1522.119476,1531.413272,1412.236345,1507.576295,1580.694286,1420.208029,1422.369527,1347.53373,1381.133654,1343.337887,1277.027298,1335.99169,1438.987137,1368.086815,1318.830796,1254.972546,1082.207351,938.7690062,889.654903,924.5440308,933.1307096,901.5477261,715.0197404
Australia,Oil products,Total energy supply (PJ),-40.37049887,-27.80829855,-91.3751013,-32.35090118,-92.7563015,-72.66960096,-88.49680191,-63.99499935,-73.47710071,-66.19370156,-74.62829905,-79.57610019,-128.7264987,-116.4085019,-110.2522018,-102.013601,-81.36789987,-111.0300004,-81.16389804,-78.42140168,-121.0487993,-129.0729983,-125.2968982,-99.91709859,-114.3962002,-114.885298,-152.9898002,-186.0492,-128.4868002,-101.5188008,-130.837299,-146.8242013,-100.0527007,67.80260088,123.1093999,184.8685015,162.0413017,310.3152997,375.4347019,406.3408012,367.9481843,477.2546508,565.1096331,601.8762978,694.8033077,854.9474238,906.4376615,922.0233678,903.9635014,946.3851596,1040.481451
Australia,Natural gas,Total energy supply (PJ),75.06450081,108.141301,141.5798993,162.1349981,175.484702,187.6185006,236.5289997,256.1040021,290.8683004,312.6293985,365.6097016,403.2225019,421.6265987,441.0657017,470.5667989,513.9828012,530.0352017,549.4293009,564.9930014,619.2360015,579.8304009,600.4899018,624.8321998,652.856399,701.0063994,703.6938016,708.7013986,737.5095008,768.6774008,806.9993989,850.4154012,898.202699,856.5866983,859.8743998,794.3210986,958.0931983,1065.159898,1155.204899,1177.3053,1146.263402,1201.275898,1150.297199,1293.036298,1377.7128,1387.0143,1276.52538,1309.712838,1362.769571,1433.976099,1588.26917,1507.50718
Australia,Nuclear,Total energy supply (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Renewables and waste,Total energy supply (PJ),190.6665999,193.5768027,188.7895988,201.6599978,207.788397,210.0090004,203.2212011,204.4361979,204.352395,198.6921972,211.9865977,216.6025991,209.6142019,205.6775967,216.280203,204.0081939,203.4961985,209.0537987,216.4690025,220.2127972,225.080597,205.5233969,237.6769993,232.6352003,239.4117999,262.6733969,275.1212013,266.3514002,269.9710018,273.5015963,277.1241999,289.0316014,283.6385969,279.8616051,274.8424023,282.8763984,292.0690034,299.7761905,237.4984029,283.7361954,293.8996985,293.1057221,325.2862331,335.8045507,338.9486742,350.7218386,376.2876284,382.9740024,397.7702793,418.4463891,458.403341
Australia,Electricity,Total energy supply (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Heat,Total energy supply (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Total,Total energy supply (PJ),2161.010837,2226.254215,2388.879855,2467.297418,2527.942542,2588.572417,2775.669749,2783.146038,2846.348673,2914.252092,2934.128264,3061.52058,2931.241059,3027.465852,3051.515455,3098.427498,3243.636566,3308.66555,3518.222787,3606.451093,3564.008694,3630.126061,3818.142911,3822.396855,3873.353079,4143.235249,4240.531495,4350.929451,4445.851505,4526.223968,4427.483113,4582.794456,4636.601339,4716.947065,4751.372936,4937.897103,5073.200872,5264.938631,5272.482579,5285.411292,5315.925088,5257.593263,5333.467307,5306.979705,5300.009181,5284.015111,5354.123709,5389.961294,5412.945959,5484.787528,5437.845361
Austria,"Coal, peat and oil shale",Total energy supply (PJ),171.0235201,161.1141642,162.0300057,170.684339,149.9217299,162.5568266,137.6705083,138.393397,151.9682252,152.95026,157.8114614,150.121323,160.821959,183.1963355,182.937227,163.081822,161.7981952,155.0064226,155.5126989,171.5030887,179.6706228,139.6525227,125.6616606,128.0030406,145.5912264,145.7625418,154.4539451,136.0725407,133.1880491,150.7438123,155.9472092,159.4511588,169.5685192,166.8854293,168.4436181,169.2606554,162.1292622,160.4414752,120.1009371,141.6438318,145.7533811,135.8909341,138.8777428,127.6862715,135.6251686,126.20723,130.1578065,114.6418607,120.7921652,103.4769965,105.8344914
Austria,"Crude, NGL and feedstocks",Total energy supply (PJ),325.8899989,352.367498,392.8699983,370.642499,350.5400017,397.5450001,371.5349991,418.4225997,461.1202016,453.4777006,389.5493007,342.2229988,307.4087813,325.2988688,349.7405741,353.3870843,355.8773259,354.9768457,359.7824548,383.5031847,402.5271456,412.4976288,409.8450649,414.9370092,391.2659054,407.4976517,436.4045917,424.2845761,405.8697611,377.2123669,403.7680838,405.050576,388.5097768,376.6394829,386.7873692,384.3477083,379.8358786,391.3567883,366.1996343,338.6199099,362.8479251,365.1543159,369.5486138,370.4383799,375.6552416,363.3000408,353.6871062,383.7578133,401.8230849,349.0236557,356.28767
