Período,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
P.Médio,34,13,12,5,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
P.Crítico,42,54,53,38,41. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica) sem emissões
P.Médio,29,16,21,37,17. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Crítico,35,25,39,61,17. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Médio,29,22,31,45,20. Redução de 45% no CAPEX de Usina Nuclear
P.Crítico,35,38,53,69,20. Redução de 45% no CAPEX de Usina Nuclear
P.Médio,29,22,29,41,24. Expansão de 8.000 MW de Usinas Nucleares
P.Crítico,35,39,50,65,24. Expansão de 8.000 MW de Usinas Nucleares
P.Médio,29,21,28,42,26. Carvão financiado com redução de 20% no CAPEX
P.Crítico,35,37,48,66,26. Carvão financiado com redução de 20% no CAPEX
P.Médio,29,20,22,38,44. Integração Elétrica com países da América do Sul
P.Crítico,35,37,41,60,44. Integração Elétrica com países da América do Sul
P.Médio,29,17,12,3,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
P.Crítico,35,31,28,19,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
P.Médio,29,22,28,45,7. Sobrecusto de 100% no CAPEX de PCH
P.Crítico,35,41,48,69,7. Sobrecusto de 100% no CAPEX de PCH
P.Médio,29,25,46,89,10. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
P.Crítico,35,43,74,123,10. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
P.Médio,29,22,29,41,25. Expansão de 10.000 MW de Usinas Nucleares
P.Crítico,35,38,49,65,25. Expansão de 10.000 MW de Usinas Nucleares
P.Médio,29,19,21,41,58. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
P.Crítico,35,32,39,61,58. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
P.Médio,29,21,29,45,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
P.Crítico,35,37,48,69,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
P.Médio,29,21,21,43,62. Capacidade Instalada de GD alcança 75 GW em 2050
P.Crítico,35,36,39,64,62. Capacidade Instalada de GD alcança 75 GW em 2050
P.Médio,29,22,29,47,27. Capacidade Instalada de GD alcança 75 GW em 2050
P.Crítico,35,38,49,71,27. Capacidade Instalada de GD alcança 75 GW em 2050
P.Médio,29,25,36,85,13. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
P.Crítico,35,41,56,110,13. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
P.Médio,29,16,22,36,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Crítico,35,24,40,56,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Médio,29,20,24,45,56. Redução de 50% no CAPEX de Usina Nuclear
P.Crítico,35,38,43,67,56. Redução de 50% no CAPEX de Usina Nuclear
P.Médio,29,22,28,42,15. Eólica Offshore com 20% de redução de CAPEX
P.Crítico,35,40,49,67,15. Eólica Offshore com 20% de redução de CAPEX
P.Médio,29,21,25,48,30. Potencial Inventariado Total exceto UHEs em áreas de interferência com Unidades de Conservação (UC)
P.Crítico,35,38,43,68,30. Potencial Inventariado Total exceto UHEs em áreas de interferência com Unidades de Conservação (UC)
P.Médio,29,20,20,37,47. Frota de veículos leves integralmente elétrica em 2050
P.Crítico,35,38,40,59,47. Frota de veículos leves integralmente elétrica em 2050
P.Médio,29,19,26,40,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
P.Crítico,35,32,44,63,23. Redução de 50% no CAPEX e no OPEX de Usina Nuclear
P.Médio,30,10,8,5,1. Estagnação
P.Crítico,36,11,11,7,1. Estagnação
P.Médio,29,13,4,0,37. Matriz Elétrica com expansão 100% renovável
P.Crítico,35,17,4,0,37. Matriz Elétrica com expansão 100% renovável
P.Médio,29,20,21,41,43. Repotenciação de UHE
P.Crítico,35,39,41,63,43. Repotenciação de UHE
P.Médio,29,17,20,35,19. Repotenciação e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Crítico,35,26,40,59,19. Repotenciação e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Médio,29,22,30,44,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
P.Crítico,35,39,52,69,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
P.Médio,29,21,25,45,42. Sobrecusto de 100% no CAPEX de PCH
P.Crítico,35,39,44,67,42. Sobrecusto de 100% no CAPEX de PCH
P.Médio,29,17,20,36,18. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50% maior na entressafra
P.Crítico,35,27,38,60,18. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50% maior na entressafra
P.Médio,29,22,18,26,64. GN Pré-Sal ao preço de US$ 6/MMBtu
P.Crítico,35,40,37,48,64. GN Pré-Sal ao preço de US$ 6/MMBtu
P.Médio,29,20,20,37,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
P.Crítico,35,38,40,59,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
P.Médio,29,20,22,43,59. Expansão de 8.000 MW de Usinas Nucleares
P.Crítico,35,38,40,64,59. Expansão de 8.000 MW de Usinas Nucleares
P.Médio,29,22,29,45,4. Potencial Hidrelétrico Inventariado sem áreas de interferência
P.Crítico,35,39,50,69,4. Potencial Hidrelétrico Inventariado sem áreas de interferência
P.Médio,34,22,29,47,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
P.Crítico,42,88,98,119,5. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
P.Médio,29,22,30,45,34. UHEs em áreas de interferência com Unidades de Conservação (UC) com CAPEX dobrado
P.Crítico,35,39,51,69,34. UHEs em áreas de interferência com Unidades de Conservação (UC) com CAPEX dobrado
P.Médio,29,22,25,57,63. Capacidade Instalada de GD limitada a 25 GW em 2050
P.Crítico,35,37,43,81,63. Capacidade Instalada de GD limitada a 25 GW em 2050
P.Médio,29,22,28,47,16. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Crítico,35,38,49,71,16. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Médio,29,20,22,43,60. Expansão de 10.000 MW de Usinas Nucleares
P.Crítico,35,38,40,64,60. Expansão de 10.000 MW de Usinas Nucleares
P.Médio,29,21,29,44,21. Redução de 50% no CAPEX de Usina Nuclear
P.Crítico,35,36,50,68,21. Redução de 50% no CAPEX de Usina Nuclear
P.Médio,29,27,34,74,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
P.Crítico,35,45,53,100,48. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
P.Médio,29,16,23,32,54. Repotenciação e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Crítico,35,25,43,54,54. Repotenciação e aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
P.Médio,29,22,28,44,28. Capacidade Instalada de GD limitada a 25 GW em 2050
P.Crítico,35,40,48,67,28. Capacidade Instalada de GD limitada a 25 GW em 2050
P.Médio,29,28,41,72,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
P.Crítico,35,46,66,107,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
P.Médio,29,23,81,173,49. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Crítico,35,40,104,196,49. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Médio,29,20,24,42,39. Potencial Hidrelétrico Inventariado com áreas de interferência
P.Crítico,35,39,43,63,39. Potencial Hidrelétrico Inventariado com áreas de interferência
P.Médio,29,20,22,35,9. Integração Elétrica com países da América do Sul
P.Crítico,35,39,42,59,9. Integração Elétrica com países da América do Sul
P.Médio,29,21,22,47,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Crítico,35,37,40,69,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
P.Médio,29,13,4,0,2. Matriz Elétrica com expansão 100% renovável
P.Crítico,35,17,4,0,2. Matriz Elétrica com expansão 100% renovável
P.Médio,29,21,25,45,50. Eólica Offshore com 20% de redução de CAPEX
P.Crítico,35,39,43,65,50. Eólica Offshore com 20% de redução de CAPEX
P.Médio,29,20,24,44,57. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
P.Crítico,35,37,42,66,57. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
P.Médio,29,16,23,38,53. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50% maior na entressafra
P.Crítico,35,24,41,59,53. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50% maior na entressafra
P.Médio,29,19,28,41,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
P.Crítico,35,34,49,66,22. Redução de 45% no CAPEX e no OPEX de Usina Nuclear
P.Médio,29,23,19,21,29. GN Pré-Sal ao preço de US$ 6/MMBtu
P.Crítico,35,40,37,42,29. GN Pré-Sal ao preço de US$ 6/MMBtu
P.Médio,29,21,29,42,35. UHEs com interferência após 2040
P.Crítico,35,37,49,63,35. UHEs com interferência após 2040
P.Médio,29,21,29,42,8. Repotenciação de UHE
P.Crítico,35,38,51,67,8. Repotenciação de UHE
P.Médio,34,22,29,47,40. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
P.Crítico,42,87,99,120,40. Efeitos das Mudanças Climáticas (redução de disponibilidade hídrica)
P.Médio,29,22,33,51,12. Frota de veículos leves integralmente elétrica em 2050
