mes,biocombustivel,emissao_cbio,ano
janeiro,Biodiesel,314317,2022
janeiro,Biometano,9638,2022
janeiro,Etanol,1919505,2022
fevereiro,Biodiesel,271087,2022
fevereiro,Biometano,10055,2022
fevereiro,Etanol,1735367,2022
março,Biodiesel,340378,2022
março,Biometano,4180,2022
março,Etanol,2293745,2022
abril,Biodiesel,342911,2022
abril,Biometano,6189,2022
abril,Etanol,2037438,2022
maio,Biodiesel,369307,2022
maio,Biometano,18796,2022
maio,Etanol,2625565,2022
junho,Biodiesel,403420,2022
junho,Biometano,14639,2022
junho,Etanol,2423208,2022
julho,Biodiesel,346960,2022
julho,Biometano,7970,2022
julho,Etanol,2116493,2022
agosto,Biodiesel,393924,2022
agosto,Biometano,14535,2022
agosto,Etanol,2319910,2022
setembro,Biodiesel,443174,2022
setembro,Biometano,12241,2022
setembro,Etanol,2141797,2022
outubro,Biodiesel,408620,2022
outubro,Biometano,15657,2022
outubro,Etanol,2397396,2022
novembro,Biodiesel,418728,2022
novembro,Biometano,16716,2022
novembro,Etanol,2356429,2022
dezembro,Biodiesel,440566,2022
dezembro,Biometano,10273,2022
dezembro,Etanol,2437058,2022
