regiao,prod_etanol_anidro_hidr,ano
Região Norte,7.46,2013
Região Norte,12.77,2014
Região Norte,12.99,2015
Região Norte,9.06,2016
Região Norte,4.9,2017
Região Norte,1.39,2018
Região Norte,4.85,2019
Região Norte,0.07,2020
Região Norte,0.0,2021
Região Norte,0.0,2022
Região Norte,5.01,2013
Região Norte,0.0,2014
Região Norte,4.51,2015
Região Norte,3.67,2016
Região Norte,0.0,2017
Região Norte,0.0,2018
Região Norte,0.0,2019
Região Norte,0.0,2020
Região Norte,0.0,2021
Região Norte,0.0,2022
Região Norte,4.87,2013
Região Norte,2.92,2014
Região Norte,5.8,2015
Região Norte,5.5,2016
Região Norte,4.85,2017
Região Norte,5.47,2018
Região Norte,8.82,2019
Região Norte,9.01,2020
Região Norte,6.39,2021
Região Norte,5.9,2022
Região Norte,37.06,2013
Região Norte,42.15,2014
Região Norte,40.93,2015
Região Norte,33.15,2016
Região Norte,51.62,2017
Região Norte,43.46,2018
Região Norte,61.23,2019
Região Norte,50.34,2020
Região Norte,54.98,2021
Região Norte,54.37,2022
Região Norte,184.34,2013
Região Norte,180.72,2014
Região Norte,189.81,2015
Região Norte,161.97,2016
Região Norte,176.27,2017
Região Norte,155.22,2018
Região Norte,166.37,2019
Região Norte,174.5,2020
Região Norte,195.01,2021
Região Norte,209.58,2022
Região Nordeste,167.9,2013
Região Nordeste,179.15,2014
Região Nordeste,186.98,2015
Região Nordeste,128.0,2016
Região Nordeste,162.56,2017
Região Nordeste,147.62,2018
Região Nordeste,167.74,2019
Região Nordeste,174.55,2020
Região Nordeste,164.33,2021
Região Nordeste,158.95,2022
Região Nordeste,31.94,2013
Região Nordeste,32.51,2014
Região Nordeste,32.68,2015
Região Nordeste,21.61,2016
Região Nordeste,20.4,2017
Região Nordeste,37.48,2018
Região Nordeste,46.46,2019
Região Nordeste,38.61,2020
Região Nordeste,44.14,2021
Região Nordeste,45.03,2022
Região Nordeste,9.0,2013
Região Nordeste,9.13,2014
Região Nordeste,14.6,2015
Região Nordeste,5.24,2016
Região Nordeste,0.0,2017
Região Nordeste,0.0,2018
Região Nordeste,0.0,2019
Região Nordeste,0.0,2020
Região Nordeste,0.0,2021
Região Nordeste,0.0,2022
Região Nordeste,55.56,2013
Região Nordeste,73.24,2014
Região Nordeste,98.26,2015
Região Nordeste,75.15,2016
Região Nordeste,66.35,2017
Região Nordeste,114.9,2018
Região Nordeste,109.64,2019
Região Nordeste,118.3,2020
Região Nordeste,101.78,2021
Região Nordeste,91.81,2022
Região Nordeste,287.0,2013
Região Nordeste,375.7,2014
Região Nordeste,447.06,2015
Região Nordeste,360.23,2016
Região Nordeste,329.63,2017
Região Nordeste,431.04,2018
Região Nordeste,359.03,2019
Região Nordeste,395.53,2020
Região Nordeste,362.88,2021
Região Nordeste,361.86,2022
Região Nordeste,249.27,2013
Região Nordeste,336.06,2014
Região Nordeste,442.94,2015
Região Nordeste,347.87,2016
Região Nordeste,279.45,2017
Região Nordeste,465.51,2018
Região Nordeste,367.96,2019
Região Nordeste,395.02,2020
Região Nordeste,320.88,2021
Região Nordeste,308.7,2022
Região Nordeste,457.73,2013
Região Nordeste,485.25,2014
Região Nordeste,554.56,2015
Região Nordeste,366.49,2016
Região Nordeste,311.88,2017
Região Nordeste,464.1,2018
Região Nordeste,503.16,2019
Região Nordeste,425.89,2020
Região Nordeste,423.61,2021
Região Nordeste,384.91,2022
Região Nordeste,99.13,2013
Região Nordeste,111.54,2014
Região Nordeste,169.89,2015
Região Nordeste,76.03,2016
Região Nordeste,63.74,2017
Região Nordeste,104.2,2018
Região Nordeste,101.83,2019
Região Nordeste,97.16,2020
Região Nordeste,113.0,2021
Região Nordeste,79.11,2022
Região Nordeste,175.46,2013
Região Nordeste,240.29,2014
Região Nordeste,222.26,2015
Região Nordeste,126.07,2016
Região Nordeste,180.77,2017
Região Nordeste,245.7,2018
Região Nordeste,249.1,2019
Região Nordeste,273.55,2020
Região Nordeste,311.54,2021
Região Nordeste,334.91,2022
Região Sudeste,2809.09,2013
Região Sudeste,2676.28,2014
Região Sudeste,3202.92,2015
Região Sudeste,2699.43,2016
Região Sudeste,2705.4,2017
Região Sudeste,3257.6,2018
Região Sudeste,3579.21,2019
Região Sudeste,3074.56,2020
Região Sudeste,2839.28,2021
Região Sudeste,2894.9,2022
Região Sudeste,180.72,2013
Região Sudeste,162.35,2014
Região Sudeste,178.73,2015
Região Sudeste,75.31,2016
Região Sudeste,90.65,2017
Região Sudeste,127.57,2018
Região Sudeste,120.97,2019
Região Sudeste,89.69,2020
Região Sudeste,93.74,2021
Região Sudeste,103.9,2022
Região Sudeste,86.1,2013
Região Sudeste,88.49,2014
Região Sudeste,57.6,2015
Região Sudeste,94.69,2016
Região Sudeste,53.89,2017
Região Sudeste,97.26,2018
Região Sudeste,91.62,2019
Região Sudeste,139.88,2020
Região Sudeste,126.34,2021
Região Sudeste,110.17,2022
Região Sudeste,13921.7,2013
Região Sudeste,13871.49,2014
Região Sudeste,13830.05,2015
Região Sudeste,14232.41,2016
Região Sudeste,13838.59,2017
Região Sudeste,16203.4,2018
Região Sudeste,16668.25,2019
Região Sudeste,14647.91,2020
Região Sudeste,12084.16,2021
Região Sudeste,11998.35,2022
Região Sul,1466.44,2013
