localizacao,ano,prod_gn
Terra,2013,4150.3
Terra,2014,4703.83
Terra,2015,5060.17
Terra,2016,5106.16
Terra,2017,4756.45
Terra,2018,5215.97
Terra,2019,5571.08
Terra,2020,4957.18
Terra,2021,4957.09
Terra,2022,5067.57
Terra,2013,1419.7
Terra,2014,1968.44
Terra,2015,1565.33
Terra,2016,1926.29
Terra,2017,1617.24
Terra,2018,1410.91
Terra,2019,1395.13
Terra,2020,1350.39
Terra,2021,2141.12
Terra,2022,927.79
Terra,2013,0.3
Terra,2014,0.36
Terra,2015,0.42
Terra,2016,0.45
Terra,2017,0.36
Terra,2018,0.31
Terra,2019,0.34
Terra,2020,0.35
Terra,2021,0.31
Terra,2022,0.29
Mar,2013,33.1
Mar,2014,32.4
Mar,2015,27.07
Mar,2016,36.93
Mar,2017,30.09
Mar,2018,35.42
Mar,2019,28.14
Mar,2020,5.89
Mar,2021,0.0
Mar,2022,0.0
Terra,2013,277.5
Terra,2014,269.29
Terra,2015,238.38
Terra,2016,235.01
Terra,2017,217.99
Terra,2018,206.73
Terra,2019,198.62
Terra,2020,157.25
Terra,2021,186.5
Terra,2022,283.76
Mar,2013,268.4
Mar,2014,220.61
Mar,2015,188.34
Mar,2016,153.82
Mar,2017,181.43
Mar,2018,144.66
Mar,2019,136.19
Mar,2020,87.73
Mar,2021,58.38
Mar,2022,53.19
Terra,2013,499.5
Terra,2014,460.23
Terra,2015,358.37
Terra,2016,355.81
Terra,2017,334.59
Terra,2018,346.01
Terra,2019,301.78
Terra,2020,268.63
Terra,2021,152.04
Terra,2022,229.11
Mar,2013,86.8
Mar,2014,75.09
Mar,2015,69.01
Mar,2016,62.47
Mar,2017,57.1
Mar,2018,61.48
Mar,2019,12.73
Mar,2020,40.89
Mar,2021,49.83
Mar,2022,44.86
Terra,2013,93.0
Terra,2014,97.4
Terra,2015,83.21
Terra,2016,65.34
Terra,2017,50.01
Terra,2018,37.45
Terra,2019,40.42
Terra,2020,25.48
Terra,2021,16.55
Terra,2022,8.1
Mar,2013,963.7
Mar,2014,960.59
Mar,2015,780.6
Mar,2016,883.88
Mar,2017,761.77
Mar,2018,753.88
Mar,2019,605.01
Mar,2020,147.94
Mar,2021,1.7
Mar,2022,1.01
Terra,2013,989.9
Terra,2014,934.05
Terra,2015,997.2
Terra,2016,931.17
Terra,2017,808.73
Terra,2018,764.78
Terra,2019,759.1
Terra,2020,691.8
Terra,2021,807.87
Terra,2022,862.33
Mar,2013,2183.0
Mar,2014,2162.62
Mar,2015,2043.56
Mar,2016,1793.07
Mar,2017,1778.63
Mar,2018,1788.15
Mar,2019,1323.6
Mar,2020,871.26
Mar,2021,1175.03
Mar,2022,926.64
Terra,2013,81.8
Terra,2014,73.94
Terra,2015,85.79
Terra,2016,79.98
Terra,2017,62.87
Terra,2018,31.13
Terra,2019,32.02
Terra,2020,27.0
Terra,2021,26.13
Terra,2022,20.15
Mar,2013,4333.5
Mar,2014,4675.6
Mar,2015,4028.57
Mar,2016,3814.74
Mar,2017,3958.72
Mar,2018,3431.75
Mar,2019,2639.7
Mar,2020,2276.82
Mar,2021,1971.2
Mar,2022,1223.65
Mar,2013,10005.8
Mar,2014,11097.35
Mar,2015,14061.97
Mar,2016,16613.08
Mar,2017,18615.14
Mar,2018,20197.58
Mar,2019,24986.19
Mar,2020,29566.62
Mar,2021,31223.34
Mar,2022,34776.48
Mar,2013,2787.8
Mar,2014,4163.08
Mar,2015,5538.44
Mar,2016,5832.25
Mar,2017,6886.26
Mar,2018,6431.01
Mar,2019,6694.19
Mar,2020,6155.99
Mar,2021,6057.24
Mar,2022,5909.02
Terra,2013,0.0
Terra,2014,0.0
Terra,2015,0.0
Terra,2016,0.0
Terra,2017,0.0
Terra,2018,0.0
Terra,2019,0.0
Terra,2020,0.0
Terra,2021,0.0
Terra,2022,4.13
