localizacao,ano,prod_pet
Terra,2013,11270
Terra,2014,10222
Terra,2015,9601
Terra,2016,8561
Terra,2017,7482
Terra,2018,7462
Terra,2019,6814
Terra,2020,5777
Terra,2021,5328
Terra,2022,4900
Terra,2013,29
Terra,2014,43
Terra,2015,4
Terra,2016,14
Terra,2017,13
Terra,2018,15
Terra,2019,20
Terra,2020,24
Terra,2021,30
Terra,2022,14
Terra,2013,413
Terra,2014,446
Terra,2015,533
Terra,2016,567
Terra,2017,448
Terra,2018,384
Terra,2019,316
Terra,2020,282
Terra,2021,247
Terra,2022,223
Mar,2013,2633
Mar,2014,2221
Mar,2015,1901
Mar,2016,1928
Mar,2017,1558
Mar,2018,1584
Mar,2019,1539
Mar,2020,306
Mar,2021,0
Mar,2022,0
Terra,2013,19116
Terra,2014,18347
Terra,2015,18247
Terra,2016,18176
Terra,2017,15205
Terra,2018,12830
Terra,2019,12199
Terra,2020,11723
Terra,2021,11887
Terra,2022,11905
Mar,2013,2708
Mar,2014,2615
Mar,2015,2594
Mar,2016,2257
Mar,2017,2096
Mar,2018,1870
Mar,2019,1711
Mar,2020,970
Mar,2021,340
Mar,2022,88
Terra,2013,1310
Terra,2014,1519
Terra,2015,1556
Terra,2016,1499
Terra,2017,1139
Terra,2018,929
Terra,2019,967
Terra,2020,910
Terra,2021,655
Terra,2022,857
Mar,2013,131
Mar,2014,115
Mar,2015,97
Mar,2016,55
Mar,2017,50
Mar,2018,43
Mar,2019,8
Mar,2020,20
Mar,2021,19
Mar,2022,25
Terra,2013,10627
Terra,2014,10133
Terra,2015,9171
Terra,2016,8187
Terra,2017,6572
Terra,2018,4853
Terra,2019,4087
Terra,2020,3756
Terra,2021,2822
Terra,2022,1281
Mar,2013,3620
Mar,2014,4839
Mar,2015,2992
Mar,2016,2715
Mar,2017,1899
Mar,2018,1776
Mar,2019,1288
Mar,2020,716
Mar,2021,81
Mar,2022,83
Terra,2013,15777
Terra,2014,15632
Terra,2015,14190
Terra,2016,12994
Terra,2017,11631
Terra,2018,10586
Terra,2019,10119
Terra,2020,9002
Terra,2021,8069
Terra,2022,7131
Mar,2013,385
Mar,2014,356
Mar,2015,240
Mar,2016,281
Mar,2017,206
Mar,2018,193
Mar,2019,144
Mar,2020,106
Mar,2021,122
Mar,2022,93
Terra,2013,5350
Terra,2014,5235
Terra,2015,5066
Terra,2016,4690
Terra,2017,3891
Terra,2018,3588
Terra,2019,3472
Terra,2020,3256
Terra,2021,2989
Terra,2022,2603
Mar,2013,108034
Mar,2014,128739
Mar,2015,136581
Mar,2016,139490
Mar,2017,133869
Mar,2018,118721
Mar,2019,101517
Mar,2020,87144
Mar,2021,73891
Mar,2022,47679
Mar,2013,532036
Mar,2014,563232
Mar,2015,596924
Mar,2016,614713
Mar,2017,650854
Mar,2018,662818
Mar,2019,765869
Mar,2020,853803
Mar,2021,854662
Mar,2022,932431
Mar,2013,25274
Mar,2014,59235
Mar,2015,89968
Mar,2016,102605
Mar,2017,120014
Mar,2018,116464
Mar,2019,107460
Mar,2020,98226
Mar,2021,99226
Mar,2022,93538
