Pais,Ano,Cap_Inst
China,2012,5
Estados Unidos,2012,14
Brasil,2012,10
Índia,2012,4
Alemanha,2012,7
Reino Unido,2012,3
Japão,2012,2
Suécia,2012,4
Tailândia,2012,2
Itália,2012,3
China,2013,6
Estados Unidos,2013,16
Brasil,2013,12
Índia,2013,4
Alemanha,2013,8
Reino Unido,2013,4
Japão,2013,2
Suécia,2013,4
Tailândia,2013,3
Itália,2013,3
China,2014,7
Estados Unidos,2014,16
Brasil,2014,12
Índia,2014,5
Alemanha,2014,8
Reino Unido,2014,4
Japão,2014,2
Suécia,2014,4
Tailândia,2014,3
Itália,2014,3
China,2015,8
Estados Unidos,2015,16
Brasil,2015,13
Índia,2015,5
Alemanha,2015,8
Reino Unido,2015,5
Japão,2015,2
Suécia,2015,5
Tailândia,2015,3
Itália,2015,3
China,2016,9
Estados Unidos,2016,16
Brasil,2016,14
Índia,2016,9
Alemanha,2016,9
Reino Unido,2016,5
Japão,2016,2
Suécia,2016,5
Tailândia,2016,3
Itália,2016,3
China,2017,11
Estados Unidos,2017,17
Brasil,2017,15
Índia,2017,9
Alemanha,2017,9
Reino Unido,2017,5
Japão,2017,3
Suécia,2017,5
Tailândia,2017,4
Itália,2017,3
China,2018,13
Estados Unidos,2018,16
Brasil,2018,15
Índia,2018,10
Alemanha,2018,10
Reino Unido,2018,7
Japão,2018,3
Suécia,2018,5
Tailândia,2018,4
Itália,2018,3
China,2019,17
Estados Unidos,2019,16
Brasil,2019,15
Índia,2019,10
Alemanha,2019,10
Reino Unido,2019,7
Japão,2019,4
Suécia,2019,5
Tailândia,2019,4
Itália,2019,3
China,2020,24
Estados Unidos,2020,16
Brasil,2020,15
Índia,2020,11
Alemanha,2020,10
Reino Unido,2020,7
Japão,2020,4
Suécia,2020,4
Tailândia,2020,4
Itália,2020,3
China,2021,30
Estados Unidos,2021,19
Brasil,2021,16
Índia,2021,11
Alemanha,2021,10
Reino Unido,2021,7
Japão,2021,5
Suécia,2021,4
Tailândia,2021,4
Itália,2021,3
