Pais,Ano,Cap_Inst
China,2012,820
Estados Unidos,2012,781
Índia,2012,191
Rússia,2012,158
Japão,2012,192
Alemanha,2012,90
Coreia do Sul,2012,59
Arábia Saudita,2012,54
Irã,2012,58
México,2012,48
Brasil (25º),2012,23
China,2013,870
Estados Unidos,2013,774
Índia,2013,209
Rússia,2013,164
Japão,2013,194
Alemanha,2013,91
Coreia do Sul,2013,62
Arábia Saudita,2013,58
Irã,2013,59
México,2013,48
Brasil (25º),2013,25
China,2014,924
Estados Unidos,2014,774
Índia,2014,232
Rússia,2014,182
Japão,2014,197
Alemanha,2014,97
Coreia do Sul,2014,69
Arábia Saudita,2014,66
Irã,2014,61
México,2014,49
Brasil (25º),2014,25
China,2015,990
Estados Unidos,2015,758
Índia,2015,258
Rússia,2015,179
Japão,2015,194
Alemanha,2015,97
Coreia do Sul,2015,70
Arábia Saudita,2015,69
Irã,2015,62
México,2015,49
Brasil (25º),2015,26
China,2016,1061
Estados Unidos,2016,750
Índia,2016,268
Rússia,2016,186
Japão,2016,198
Alemanha,2016,96
Coreia do Sul,2016,76
Arábia Saudita,2016,75
Irã,2016,61
México,2016,53
Brasil (25º),2016,27
China,2017,1106
Estados Unidos,2017,748
Índia,2017,276
Rússia,2017,188
Japão,2017,197
Alemanha,2017,95
Coreia do Sul,2017,86
Arábia Saudita,2017,80
Irã,2017,63
México,2017,54
Brasil (25º),2017,27
China,2018,1144
Estados Unidos,2018,748
Índia,2018,298
Rússia,2018,190
Japão,2018,197
Alemanha,2018,102
Coreia do Sul,2018,89
Arábia Saudita,2018,77
Irã,2018,65
México,2018,62
Brasil (25º),2018,25
China,2019,1191
Estados Unidos,2019,739
Índia,2019,302
Rússia,2019,192
Japão,2019,193
Alemanha,2019,101
Coreia do Sul,2019,88
Arábia Saudita,2019,76
Irã,2019,67
México,2019,64
Brasil (25º),2019,26
China,2020,1245
Estados Unidos,2020,731
Índia,2020,307
Rússia,2020,194
Japão,2020,192
Alemanha,2020,98
Coreia do Sul,2020,90
Arábia Saudita,2020,76
Irã,2020,67
México,2020,64
Brasil (25º),2020,28
China,2021,1245
Estados Unidos,2021,730
Índia,2021,311
Rússia,2021,194
Japão,2021,192
Alemanha,2021,98
Coreia do Sul,2021,90
Arábia Saudita,2021,76
Irã,2021,67
México,2021,64
Brasil (25º),2021,29
