Regiao,Ano,Cons_Med_An_PC
Brasil,2013,2306
Norte,2013,1767
Nordeste,2013,1440
Sudeste,2013,2838
Sul,2013,2800
Centro-Oeste,2013,2168
Brasil,2014,2344
Norte,2014,1867
Nordeste,2014,1451
Sudeste,2014,2842
Sul,2014,2930
Centro-Oeste,2014,2243
Brasil,2015,2279
Norte,2015,1918
Nordeste,2015,1415
Sudeste,2015,2741
Sul,2015,2815
Centro-Oeste,2015,2241
Brasil,2016,2242
Norte,2016,1924
Nordeste,2016,1412
Sudeste,2016,2664
Sul,2016,2802
Centro-Oeste,2016,2193
Brasil,2017,2250
Norte,2017,1911
Nordeste,2017,1409
Sudeste,2017,2661
Sul,2017,2868
Centro-Oeste,2017,2216
Brasil,2018,2273
Norte,2018,1772
Nordeste,2018,1414
Sudeste,2018,2712
Sul,2018,2919
Centro-Oeste,2018,2276
Brasil,2019,2287
Norte,2019,1783
Nordeste,2019,1453
Sudeste,2019,2689
Sul,2019,2972
Centro-Oeste,2019,2343
Brasil,2020,2242
Norte,2020,1848
Nordeste,2020,1411
Sudeste,2020,2609
Sul,2020,2928
Centro-Oeste,2020,2345
Brasil,2021,2324
Norte,2021,1918
Nordeste,2021,1507
Sudeste,2021,2683
Sul,2021,3041
Centro-Oeste,2021,2371
Brasil,2022,2363
Norte,2022,1983
Nordeste,2022,1516
Sudeste,2022,2739
Sul,2022,3084
Centro-Oeste,2022,2385
