Regiao,Ano,Cons_Med_Res
Regiões geográficas,2013,162.99
Norte,2013,167.08
Nordeste,2013,117.82
Sudeste,2013,181.06
Sul,2013,181.57
Centro-Oeste,2013,173.71
Regiões geográficas,2014,167.03
Norte,2014,179.38
Nordeste,2014,121.03
Sudeste,2014,182.84
Sul,2014,190.28
Centro-Oeste,2014,179.96
Regiões geográficas,2015,161.37
Norte,2015,183.51
Nordeste,2015,120.81
Sudeste,2015,174.53
Sul,2015,177.38
Centro-Oeste,2015,176.87
Regiões geográficas,2016,159.83
Norte,2016,183.13
Nordeste,2016,121.33
Sudeste,2016,171.34
Sul,2016,177.11
Centro-Oeste,2016,175.12
Regiões geográficas,2017,157.92
Norte,2017,175.15
Nordeste,2017,119.53
Sudeste,2017,168.99
Sul,2017,177.02
Centro-Oeste,2017,176.45
Regiões geográficas,2018,159.1
Norte,2018,169.28
Nordeste,2018,120.48
Sudeste,2018,170.77
Sul,2018,178.51
Centro-Oeste,2018,180.24
Regiões geográficas,2019,161.73
Norte,2019,167.88
Nordeste,2019,123.57
Sudeste,2019,172.86
Sul,2019,181.57
Centro-Oeste,2019,187.38
Regiões geográficas,2020,165.06
Norte,2020,176.94
Nordeste,2020,128.0
Sudeste,2020,173.67
Sul,2020,186.3
Centro-Oeste,2020,193.64
Regiões geográficas,2021,165.93
Norte,2021,182.79
Nordeste,2021,130.57
Sudeste,2021,174.47
Sul,2021,184.99
Centro-Oeste,2021,191.17
Regiões geográficas,2022,161.28
Norte,2022,184.48
Nordeste,2022,123.99
Sudeste,2022,167.8
Sul,2022,186.67
Centro-Oeste,2022,187.85
