Subsistema,Ano,Cons_Med_Tot
Subsistemas Elétricos,2013,516
Sistemas Isolados,2013,530
Norte,2013,531
Nordeste,2013,327
Sudeste/Centro-Oeste,2013,574
Sul,2013,595
Subsistemas Elétricos,2014,513
Sistemas Isolados,2014,328
Norte,2014,532
Nordeste,2014,331
Sudeste/Centro-Oeste,2014,567
Sul,2014,609
Subsistemas Elétricos,2015,491
Sistemas Isolados,2015,353
Norte,2015,493
Nordeste,2015,323
Sudeste/Centro-Oeste,2015,543
Sul,2015,578
Subsistemas Elétricos,2016,477
Sistemas Isolados,2016,300
Norte,2016,482
Nordeste,2016,318
Sudeste/Centro-Oeste,2016,525
Sul,2016,571
Subsistemas Elétricos,2017,472
Sistemas Isolados,2017,292
Norte,2017,464
Nordeste,2017,313
Sudeste/Centro-Oeste,2017,518
Sul,2017,576
Subsistemas Elétricos,2018,474
Sistemas Isolados,2018,287
Norte,2018,430
Nordeste,2018,311
Sudeste/Centro-Oeste,2018,526
Sul,2018,579
Subsistemas Elétricos,2019,473
Sistemas Isolados,2019,294
Norte,2019,429
Nordeste,2019,313
Sudeste/Centro-Oeste,2019,523
Sul,2019,580
Subsistemas Elétricos,2020,458
Sistemas Isolados,2020,296
Norte,2020,443
Nordeste,2020,299
Sudeste/Centro-Oeste,2020,503
Sul,2020,569
Subsistemas Elétricos,2021,477
Sistemas Isolados,2021,325
Norte,2021,464
Nordeste,2021,311
Sudeste/Centro-Oeste,2021,525
Sul,2021,594
Subsistemas Elétricos,2022,469
Sistemas Isolados,2022,338
Norte,2022,483
Nordeste,2022,302
Sudeste/Centro-Oeste,2022,512
Sul,2022,582
