Fonte,Ano,Emissoes
Gás Natural,2013,26080
Carvão,2013,15680
Óleo Diesel,2013,3060
Óleo Combustível,2013,8010
Gás Natural,2014,7110
Carvão,2014,13160
Óleo Diesel,2014,31450
Óleo Combustível,2014,19280
Gás Natural,2015,7730
Carvão,2015,10820
Óleo Diesel,2015,30520
Óleo Combustível,2015,19890
Gás Natural,2016,3410
Carvão,2016,4290
Óleo Diesel,2016,20300
Óleo Combustível,2016,17350
Gás Natural,2017,630
Carvão,2017,4440
Óleo Diesel,2017,24220
Óleo Combustível,2017,13850
Gás Natural,2018,560
Carvão,2018,2310
Óleo Diesel,2018,18900
Óleo Combustível,2018,11910
Gás Natural,2019,110
Carvão,2019,860
Óleo Diesel,2019,19500
Óleo Combustível,2019,13110
Gás Natural,2020,18490
Carvão,2020,10180
Óleo Diesel,2020,420
Óleo Combustível,2020,940
Gás Natural,2021,31220
Carvão,2021,16390
Óleo Diesel,2021,1580
Óleo Combustível,2021,5450
Gás Natural,2022,12040
Carvão,2022,7140
Óleo Diesel,2022,2400
Óleo Combustível,2022,30
