Fonte,Ano,Emissoes
Óleo Diesel,2013,4800
Gás Natural,2013,1770
Óleo Leve PTE,2013,40
Óleo PGE,2013,350
Óleo combustível,2013,560
Óleo Diesel,2014,420
Gás Natural,2014,50
Óleo Leve PTE,2014,4690
Óleo PGE,2014,2000
Óleo combustível,2014,140
Óleo Diesel,2015,110
Gás Natural,2015,20
Óleo Leve PTE,2015,3080
Óleo PGE,2015,930
Óleo combustível,2015,60
Óleo Diesel,2016,0
Gás Natural,2016,0
Óleo Leve PTE,2016,2350
Óleo PGE,2016,20
Óleo combustível,2016,0
Óleo Diesel,2017,0
Gás Natural,2017,0
Óleo Leve PTE,2017,1110
Óleo PGE,2017,0
Óleo combustível,2017,0
Óleo Diesel,2018,0
Gás Natural,2018,0
Óleo Leve PTE,2018,1920
Óleo PGE,2018,30
Óleo combustível,2018,0
Óleo Diesel,2019,0
Gás Natural,2019,0
Óleo Leve PTE,2019,2970
Óleo PGE,2019,1250
Óleo combustível,2019,0
Óleo Diesel,2020,2510
Gás Natural,2020,60
Óleo Leve PTE,2020,0
Óleo PGE,2020,0
Óleo combustível,2020,0
Óleo Diesel,2021,2190
Gás Natural,2021,80
Óleo Leve PTE,2021,0
Óleo PGE,2021,0
Óleo combustível,2021,0
Óleo Diesel,2022,2160
Gás Natural,2022,300
Óleo Leve PTE,2022,0
Óleo PGE,2022,0
Óleo combustível,2022,0
