Pais,Ano,Geracao
China,2012,96
Estados Unidos,2012,141
Alemanha,2012,51
Índia,2012,30
Brasil,2012,5
Reino Unido,2012,20
Espanha,2012,48
França,2012,15
Canadá,2012,11
Turquia,2012,6
China,2013,141
Estados Unidos,2013,168
Alemanha,2013,52
Índia,2013,33
Brasil,2013,7
Reino Unido,2013,28
Espanha,2013,55
França,2013,16
Canadá,2013,18
Turquia,2013,8
China,2014,160
Estados Unidos,2014,182
Alemanha,2014,57
Índia,2014,36
Brasil,2014,12
Reino Unido,2014,32
Espanha,2014,51
França,2014,17
Canadá,2014,22
Turquia,2014,8
China,2015,186
Estados Unidos,2015,191
Alemanha,2015,79
Índia,2015,35
Brasil,2015,22
Reino Unido,2015,40
Espanha,2015,48
França,2015,21
Canadá,2015,27
Turquia,2015,12
China,2016,237
Estados Unidos,2016,227
Alemanha,2016,78
Índia,2016,48
Brasil,2016,33
Reino Unido,2016,37
Espanha,2016,48
França,2016,21
Canadá,2016,31
Turquia,2016,15
China,2017,297
Estados Unidos,2017,254
Alemanha,2017,104
Índia,2017,55
Brasil,2017,42
Reino Unido,2017,50
Espanha,2017,48
França,2017,25
Canadá,2017,31
Turquia,2017,18
China,2018,366
Estados Unidos,2018,273
Alemanha,2018,108
Índia,2018,63
Brasil,2018,48
Reino Unido,2018,57
Espanha,2018,50
França,2018,29
Canadá,2018,33
Turquia,2018,20
China,2019,406
Estados Unidos,2019,296
Alemanha,2019,124
Índia,2019,68
Brasil,2019,56
Reino Unido,2019,64
Espanha,2019,54
França,2019,35
Canadá,2019,32
Turquia,2019,22
China,2020,466
Estados Unidos,2020,338
Alemanha,2020,130
Índia,2020,68
Brasil,2020,57
Reino Unido,2020,75
Espanha,2020,55
França,2020,40
Canadá,2020,36
Turquia,2020,25
China,2021,611
Estados Unidos,2021,380
Alemanha,2021,114
Índia,2021,78
Brasil,2021,72
Reino Unido,2021,64
Espanha,2021,61
França,2021,37
Canadá,2021,35
Turquia,2021,31
