CONTA,PRODUÇÃO,IMPORTAÇÃO,VARIAÇÃO DE ESTOQUES,EXPORTAÇÃO,NÃO-APROVEITADA,REINJEÇÃO,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,RESIDENCIAL,COMERCIAL,PÚBLICO,AGROPECUÁRIO,RODOVIÁRIO,FERROVIÁRIO,AÉREO,HIDROVIÁRIO,INDUSTRIAL - TOTAL,Ano
 PETRÓLEO ,156398,12724,-470,-69580,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 GÁS NATURAL ,49971,7722,0,0,-1253,-24725,975,4345,466,143,22,0,1991,0,0,0,9135,2022
 CARVÃO VAPOR ,2311,3257,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3578,2022
 CARVÃO METALÚRGICO ,0,7405,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 URÂNIO U3O8 ,516,3160,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 ENERGIA HIDRÁULICA ,36732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 LENHA ,27283,0,0,0,0,0,0,0,7510,82,0,3118,0,0,0,0,7730,2022
 PRODUTOS DA CANA ,47740,0,0,0,0,0,0,12084,0,0,0,0,0,0,0,0,15934,2022
 OUTRAS FONTES PRIMÁRIAS ,33597,0,0,0,0,0,0,0,800,171,0,0,0,0,0,0,9797,2022
 BIODIESEL ,0,0,-14,0,0,0,0,0,0,4,0,671,4005,99,0,0,123,2022
 ÓLEO DIESEL ,0,12198,-507,-547,0,0,0,582,0,43,4,6463,38595,954,0,359,1188,2022
 ÓLEO COMBUSTÍVEL ,0,202,-567,-14592,0,0,0,116,0,12,7,8,0,0,0,743,1544,2022
 GASOLINA ,0,3193,-568,-420,0,0,0,0,0,0,0,0,24192,0,35,0,0,2022
 GLP ,0,2144,-38,0,0,0,0,0,6407,446,262,27,0,0,0,0,1070,2022
 NAFTA ,0,6451,-52,-379,0,0,6959,0,0,0,0,0,0,0,0,0,0,2022
 QUEROSENE ,0,1064,-148,-1772,0,0,2,0,4,0,0,0,0,0,3127,0,1,2022
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,1185,2022
 COQUE DE CARVÃO MINERAL ,0,1082,-180,0,0,0,0,0,0,0,0,0,0,0,0,0,7372,2022
 URÂNIO CONTIDO NO UO2,0,2781,-3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
 ELETRICIDADE,0,1538,0,-428,0,0,0,3079,13381,8351,3833,2777,0,170,0,0,18812,2022
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,395,77,0,9,0,0,0,0,3932,2022
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,53,176,-1235,0,0,649,0,0,0,0,10,15155,0,0,0,0,2022
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2941,28,-820,0,0,0,3118,0,0,0,0,0,0,0,0,5462,2022
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1533,-61,-282,0,0,7208,0,0,0,0,0,0,0,0,0,0,2022
 ALCATRÃO ,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,86,2022
 PETRÓLEO ,150386,7247,-308,-64722,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 GÁS NATURAL ,48462,14833,176,0,-1221,-22025,753,4718,456,116,21,0,1908,0,0,0,8701,2021
 CARVÃO VAPOR ,2640,5372,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3630,2021
 CARVÃO METALÚRGICO ,0,7893,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 URÂNIO U3O8 ,343,4723,-787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 ENERGIA HIDRÁULICA ,31202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 LENHA ,27407,0,0,0,0,0,0,0,7441,82,0,3158,0,0,0,0,7607,2021
 PRODUTOS DA CANA ,49425,0,0,0,0,0,0,12875,0,0,0,0,0,0,0,0,15404,2021
 OUTRAS FONTES PRIMÁRIAS ,28437,0,0,0,0,0,0,0,747,157,0,0,0,0,0,0,8975,2021
 BIODIESEL ,0,0,-14,0,0,0,0,0,0,4,1,722,4283,108,0,0,122,2021
 ÓLEO DIESEL ,0,12242,-7,-501,0,0,0,510,0,34,5,6264,37160,934,0,336,1057,2021
 ÓLEO COMBUSTÍVEL ,0,595,-442,-12238,0,0,0,135,0,16,8,9,0,0,0,795,1508,2021
 GASOLINA ,0,2121,-201,-1382,0,0,0,0,0,0,0,0,22100,0,36,0,0,2021
 GLP ,0,2454,-64,0,0,0,0,0,6522,404,260,26,0,0,0,0,1087,2021
 NAFTA ,0,6052,108,-231,0,0,5550,0,0,0,0,0,0,0,0,0,0,2021
 QUEROSENE ,0,307,-54,-1089,0,0,2,0,2,0,0,0,0,0,2516,0,1,2021
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,1246,2021
 COQUE DE CARVÃO MINERAL ,0,1153,-214,0,0,0,0,0,0,0,0,0,0,0,0,0,7843,2021
 URÂNIO CONTIDO NO UO2,0,3129,-3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
 ELETRICIDADE,0,1991,0,-4,0,0,0,3342,12997,7769,3673,2947,0,172,0,0,18364,2021
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,413,77,0,9,0,0,0,0,4065,2021
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,231,755,-967,0,0,701,0,0,0,0,9,14840,0,0,0,0,2021
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2898,-25,-841,0,0,0,3076,0,0,0,0,0,0,0,0,5919,2021
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1711,-8,-385,0,0,6620,0,0,0,0,0,0,0,0,0,0,2021
 ALCATRÃO ,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,91,2021
 PETRÓLEO ,152635,8684,765,-70885,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 GÁS NATURAL ,46299,8458,0,0,-1224,-19708,216,4986,444,90,21,0,1659,0,0,0,7202,2020
 CARVÃO VAPOR ,2085,3897,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3217,2020
 CARVÃO METALÚRGICO ,0,6815,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 URÂNIO U3O8 ,206,4699,-858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 ENERGIA HIDRÁULICA ,34089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
 LENHA ,26457,0,0,0,0,0,0,0,7208,79,0,3198,0,0,0,0,7239,2020
 PRODUTOS DA CANA ,55597,0,0,0,0,0,0,14038,0,0,0,0,0,0,0,0,18078,2020
 OUTRAS FONTES PRIMÁRIAS ,25171,0,0,0,0,0,0,0,698,145,0,0,0,0,0,0,8430,2020
 BIODIESEL ,0,0,-14,0,0,0,0,0,0,3,1,735,4007,111,0,0,116,2020
 ÓLEO DIESEL ,0,10171,40,-806,0,0,0,502,0,28,4,6230,33946,940,0,314,985,2020
 ÓLEO COMBUSTÍVEL ,0,37,-65,-13884,0,0,0,111,0,10,7,10,0,0,0,827,1420,2020
 GASOLINA ,0,3805,63,-1824,0,0,0,0,0,0,0,0,20136,0,30,0,0,2020
 GLP ,0,2235,15,0,0,0,0,0,6740,339,260,23,0,0,0,0,995,2020
 NAFTA ,0,2932,-52,-59,0,0,4609,0,0,0,0,0,0,0,0,0,0,2020
