data,qtde_negociada,valor_financeiro,mes,ano
2020-06-15,200,10100,6,2020
2020-06-25,4000,60000,6,2020
2020-06-30,2000,30000,6,2020
2020-07-01,2000,36000,7,2020
2020-07-03,2000,42000,7,2020
2020-07-06,2000,40000,7,2020
2020-07-10,10038,200760,7,2020
2020-07-17,10450,209000,7,2020
2020-07-20,245,4900,7,2020
2020-07-21,4000,80000,7,2020
2020-07-23,6000,121000,7,2020
2020-07-24,40500,809000,7,2020
2020-07-27,4975,99490,7,2020
2020-07-28,55000,1100000,7,2020
2020-07-29,1195,23900,7,2020
2020-07-30,200,4000,7,2020
2020-07-31,1950,38025,7,2020
2020-08-03,256,5332,8,2020
2020-08-04,6190,117880,8,2020
2020-08-05,4394,88784,8,2020
2020-08-06,8500,168900,8,2020
2020-08-07,40400,808000,8,2020
2020-08-10,1474,29480,8,2020
2020-08-11,44460,899200,8,2020
2020-08-13,10000,200000,8,2020
2020-08-14,45000,888500,8,2020
2020-08-17,5000,100000,8,2020
2020-08-19,11400,228000,8,2020
2020-08-20,16728,334560,8,2020
2020-08-21,48920,963825,8,2020
2020-08-24,20000,395000,8,2020
2020-08-25,4000,79000,8,2020
2020-08-26,50000,987500,8,2020
2020-08-27,49197,972516,8,2020
2020-08-28,41200,819000,8,2020
2020-08-31,29634,590180,8,2020
2020-09-01,42162,833961,9,2020
2020-09-02,31836,630650,9,2020
2020-09-03,59744,1194636,9,2020
2020-09-04,114181,2284520,9,2020
2020-09-08,71000,1425000,9,2020
2020-09-09,8350,173410,9,2020
2020-09-10,48838,1040696,9,2020
2020-09-11,137348,3025106,9,2020
2020-09-14,4492,98824,9,2020
2020-09-15,68000,1604200,9,2020
2020-09-16,147264,3480654,9,2020
2020-09-17,200129,5091559,9,2020
2020-09-18,227350,6235650,9,2020
2020-09-21,553041,16517407,9,2020
2020-09-22,359350,11945855,9,2020
2020-09-23,70198,2496446,9,2020
2020-09-24,261636,9275929,9,2020
2020-09-25,127066,4587689,9,2020
2020-09-28,304536,11142251,9,2020
2020-09-29,46591,1739371,9,2020
2020-09-30,128182,4777575,9,2020
2020-10-01,437715,17437249,10,2020
2020-10-02,1005930,40235100,10,2020
2020-10-05,147374,5897948,10,2020
2020-10-06,81466,3275472,10,2020
2020-10-07,323815,13547230,10,2020
2020-10-08,300428,12887926,10,2020
2020-10-09,58241,2500363,10,2020
2020-10-13,742241,34289462,10,2020
2020-10-14,1303696,64443165,10,2020
2020-10-15,106148,5306216,10,2020
2020-10-16,205571,10271962,10,2020
2020-10-19,184473,9253390,10,2020
2020-10-20,1070282,53546535,10,2020
2020-10-21,193874,9855540,10,2020
2020-10-22,2182682,120107727,10,2020
2020-10-23,1033898,60272942,10,2020
2020-10-26,113983,7098430,10,2020
2020-10-27,56586,3550964,10,2020
2020-10-28,171910,10321757,10,2020
2020-10-29,27885,1751712,10,2020
2020-10-30,506596,31408983,10,2020
2020-11-04,4524,266412,11,2020
2020-11-05,52203,2725855,11,2020
2020-11-06,21090,1048045,11,2020
2020-11-09,122300,5681725,11,2020
2020-11-10,84246,3822079,11,2020
2020-11-11,5943,220126,11,2020
2020-11-12,117545,4651759,11,2020
