Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Hidro,95237,132780,135150,135224,26. Carvão financiado com redução de 20% no CAPEX
Gás Natural,11242,17113,25238,31930,26. Carvão financiado com redução de 20% no CAPEX
Carvão,3174,4251,2340,2000,26. Carvão financiado com redução de 20% no CAPEX
Nuclear,1990,3395,3395,3395,26. Carvão financiado com redução de 20% no CAPEX
Óleos Comb,5184,0,0,0,26. Carvão financiado com redução de 20% no CAPEX
Biomassa,12000,13395,13395,13395,26. Carvão financiado com redução de 20% no CAPEX
Eólica,6556,49601,105344,149432,26. Carvão financiado com redução de 20% no CAPEX
Solar,21,6353,31964,74922,26. Carvão financiado com redução de 20% no CAPEX
Outros,490,490,490,490,26. Carvão financiado com redução de 20% no CAPEX
Pot. Compl.,0,13271,38658,67189,26. Carvão financiado com redução de 20% no CAPEX
GD,17,13669,27728,49888,26. Carvão financiado com redução de 20% no CAPEX
Hidro,95237,132780,136568,136780,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Gás Natural,11242,17501,25627,32537,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Carvão,3174,2251,340,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Nuclear,1990,3395,3395,3395,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Óleos Comb,5184,0,0,0,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Biomassa,12000,13395,13395,13395,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Eólica,6556,52747,105167,149218,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Solar,21,6353,32585,75543,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Outros,490,490,490,490,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Pot. Compl.,0,13711,38556,66835,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
GD,17,13669,27728,49888,33. UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI) com CAPEX dobrado
Hidro,95237,142966,157889,164974,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Gás Natural,11242,13958,14634,14265,38. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
